hotel_id,hotel_name,area,policy_status,has_checkin,has_checkout,has_children_policy,has_extra_bed_policy,has_breakfast_policy,has_pet_policy,has_service_animal_policy,has_age_rule,has_license,has_facilities,has_private_beach,has_indoor_pool,has_outdoor_pool,has_kids_pool,has_kids_club,has_playground,has_spa,has_sauna,has_gym,has_restaurant,has_bar,has_wifi,has_airport_pickup,has_airport_dropoff,has_parking,has_tennis,has_diving,has_snorkeling,has_childcare,has_conference_room,amenity_count,family_feature_count,wellness_feature_count,water_feature_count
BOD060,Club Shark Hotel,Gümbet,PARTIAL,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,9,1,3,1
BOD061,Gümbet Anıl Beach,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,6,2,0,1
BOD064,Jasmin Elite Residence & Spa,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,6,1,2,0
BOD065,Mirada Exclusive Bodrum,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,13,4,3,1
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,10,2,0,1
BOD068,Selectum Colours Bodrum,Gümbet,PARTIAL,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0,0
BOD072,VERY CHIC BODRUM,Gümbet,PARTIAL,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,5,1,1,0
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,PARTIAL,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD074,Begonvil Gümüşlük,Gümüşlük,PARTIAL,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,1,0,0
BOD076,Gümüşlük No3,Gümüşlük,PARTIAL,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,False,8,1,0,2
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,PARTIAL,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2,1,0,1
BOD082,Otel Gümüşlük,Gümüşlük,PARTIAL,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,6,1,0,0
BOD085,Paradise Gümüşlük,Gümüşlük,PARTIAL,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,3,1,0,0
BOD086,Vega Aparts,Gümüşlük,PARTIAL,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,False,False,True,7,1,0,0
BOD088,Baia Bodrum Hotel,Gündoğan,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17,4,3,3
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,12,2,3,1
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,10,1,3,1
BOD091,Gündoğan Suites,Gündoğan,PARTIAL,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD095,Mivara Luxury Bodrum,Gündoğan,PARTIAL,False,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,14,4,3,1
BOD096,Olira Boutique Hotel&SPA,Gündoğan,PARTIAL,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,10,2,3,1
BOD097,OLİVE TREE HOTEL,Gündoğan,PARTIAL,True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD100,Villa Rustica Hotel,Gündoğan,PARTIAL,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,7,1,0,0
BOD106,La Blanche Island Bodrum,Güvercinlik,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,14,4,3,2
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,16,4,3,2
BOD108,Lujo Hotel Bodrum,Güvercinlik,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,10,4,1,1
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,15,4,3,3
BOD111,Zena Hotel Bodrum,Güvercinlik,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,5,1,0,1
BOD112,Azure By Yelken Hotel,Kadıkalesi,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,14,4,3,2
BOD115,Yasmin Bodrum Resort,Kadıkalesi,PARTIAL,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,13,3,3,2
BOD118,Amfora Hotel,Ortakent-Yahşi,PARTIAL,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,9,2,0,2
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,PARTIAL,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,7,2,2,0
BOD121,Eskiyalı Otel,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,4,2,0,1
BOD122,Florida Otel,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,1,0,0
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,3,1,0,1
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,7,2,0,1
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,10,2,2,1
BOD130,Petunya Beach Resort,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,12,4,1,1
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,8,1,3,1
BOD134,Yakamoz Otel,Ortakent-Yahşi,PARTIAL,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,3,1,0,0
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,8,1,2,1
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,14,3,3,3
BOD141,DUJA BODRUM,Torba,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,13,4,2,2
BOD144,Mira Suites,Torba,PARTIAL,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,4,1,0,0
BOD147,Omar Hotel & Suites,Torba,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,6,1,0,1
BOD151,Sarpedor Boutique Hotel & SPA,Torba,PARTIAL,False,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,12,1,3,3
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,13,2,3,3
BOD158,Arin Resort Bodrum,Turgutreis,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,11,3,3,1
BOD162,Rammos Managed by Dedeman,Turgutreis,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,9,1,3,1
BOD165,Caja by Maxx Royal,Türkbükü,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,8,1,3,1
BOD167,Elista Hotel & Spa,Türkbükü,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,10,1,2,1
BOD170,No:81 Hotel,Türkbükü,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,13,2,2,3
BOD172,Ailla Yalıkavak,Yalıkavak,PARTIAL,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,8,1,2,2
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,PARTIAL,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,6,1,2,1
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,PARTIAL,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,True,False,9,2,3,1
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,PARTIAL,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,6,1,0,1
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,PARTIAL,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,0,0
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,13,3,3,1
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,PARTIAL,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,10,1,3,0
BOD183,Ruins Luxury Resort,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,12,1,3,3
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,PARTIAL,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,False,6,1,0,1
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,12,4,3,1
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,False,True,8,1,1,2
BOD189,The Bodrum EDITION,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,13,1,3,2
BOD190,The Sign Highlight Hotel,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,4,2,3,0
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,PARTIAL,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,7,1,0,1
BOD192,Yalıpark Beach Hotel,Yalıkavak,PARTIAL,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,7,1,0,0
