hotel_id,hotel_name,area,master_google_rating,master_google_review_count,google_travel_review_n,google_travel_mean_rating,google_travel_low_share,google_travel_high_share,google_top_aspects,google_strength_signals,google_concern_signals,trip_review_n,trip_mean_rating_5,trip_low_share,trip_high_share,trip_top_traveler_type,trip_family_share,trip_couple_share,trip_country_coverage,policy_status,amenity_count,family_feature_count,wellness_feature_count,water_feature_count,has_policy_data,source_count,customer_voice_support,cross_platform_rating_gap,cross_platform_consistency,archetypes
BOD012,Selectum Collection Bodrum,Akyarlar,4.5,6514,10.0,4.1,0.2,0.8,FOOD;NOISE;STAFF;CLEANLINESS;ANIMATION_ENTERTAINMENT,FOOD;NOISE;ANIMATION_ENTERTAINMENT,FAMILY_KIDS,11.0,4.613636363636363,0.091,0.818,FAMILY,81.8,0.0,2.0,PARTIAL,12.0,3.0,3.0,1.0,True,2,MEDIUM,-0.514,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;wellness_oriented_profile
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,4.4,1650,72.0,4.027777777777778,0.181,0.75,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,FOOD;ROOM;STAFF,RESERVATION;HYGIENE;AIR_CONDITIONING,8.0,4.375,0.125,0.875,FAMILY,37.5,25.0,0.0,PARTIAL,11.0,2.0,3.0,0.0,True,2,HIGH,-0.347,LOW_SUPPORT,platform_consistent_strong_profile;family_oriented_profile;wellness_oriented_profile
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,4.5,739,10.0,4.6,0.1,0.9,BAR_DRINKS;ROOM;STAFF;CLEANLINESS;FOOD,BAR_DRINKS;ROOM;CLEANLINESS,MANAGEMENT,11.0,3.5454545454545454,0.273,0.636,UNKNOWN,9.1,27.3,0.0,COMPLETE,5.0,1.0,2.0,1.0,True,2,MEDIUM,1.055,SUPPORTED_COMPARISON,platform_consistent_strong_profile;wellness_oriented_profile;source_divergent_profile
BOD015,The Ni Villas Akyarlar,Akyarlar,5.0,44,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD016,Xanadu Island,Akyarlar,4.6,2068,10.0,3.8,0.3,0.7,CLEANLINESS;STAFF;FOOD;ROOM;BAR_DRINKS,CLEANLINESS;BAR_DRINKS;ROOM,LOCATION;COMMUNICATION;MANAGEMENT,11.0,4.909090909090909,0.0,1.0,COUPLE,27.3,72.7,1.0,PARTIAL,11.0,1.0,3.0,1.0,True,2,MEDIUM,-1.109,SUPPORTED_COMPARISON,platform_consistent_strong_profile;platform_consistent_concern_profile;wellness_oriented_profile;source_divergent_profile
BOD017,Ambrosia Otel Beach & Spa,Bitez,4.0,1340,,,,,,,,50.0,4.355,0.14,0.84,UNKNOWN,30.0,14.0,3.0,PARTIAL,0.0,1.0,0.0,0.0,True,1,LOW,,,insufficient_signal
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,4.0,201,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD019,Bitez Garden Life Hotel&Suites,Bitez,4.0,2527,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD020,Bitez Risa Hotel,Bitez,3.7,919,50.0,4.32,0.1,0.82,STAFF;FOOD;PRICE_VALUE;FAMILY_KIDS;POOL,STAFF;FOOD;PRICE_VALUE,NOISE;RESERVATION;HYGIENE,50.0,3.75,0.26,0.66,UNKNOWN,6.0,0.0,1.0,PARTIAL,9.0,2.0,1.0,0.0,True,2,HIGH,0.57,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,4.5,904,,,,,,,,43.0,4.593023255813954,0.047,0.907,UNKNOWN,14.0,27.9,6.0,PARTIAL,17.0,4.0,3.0,3.0,True,1,LOW,,,family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD022,Dolce Vita Luxury Bungalows,Bitez,4.4,214,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD023,Doria Hotel Bodrum,Bitez,4.4,774,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD024,HAKAN OTEL,Bitez,4.5,311,10.0,4.1,0.2,0.8,FOOD;ROOM;CLEANLINESS;NOISE;PRICE_VALUE,FOOD;CLEANLINESS;ROOM,ROOM;NOISE;POOL,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,4.1,79,10.0,2.4,0.6,0.3,CLEANLINESS;ROOM;STAFF;FOOD;BAR_DRINKS,,CLEANLINESS;ROOM;STAFF,21.0,4.4523809523809526,0.048,0.905,COUPLE,19.0,38.1,1.0,PARTIAL,2.0,1.0,0.0,1.0,True,2,HIGH,-2.052,SUPPORTED_COMPARISON,platform_consistent_concern_profile;source_divergent_profile
BOD026,Manuela Otel Bitez,Bitez,4.6,871,10.0,5.0,0.0,1.0,CLEANLINESS;BEACH_SEA;STAFF;ROOM;FOOD,BEACH_SEA;CLEANLINESS;ROOM,,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD027,Meis Apart Hotel,Bitez,4.7,134,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD028,Mira Beach Resort Bodrum,Bitez,3.3,274,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD029,Mumu Bodrum Hotel,Bitez,4.9,71,,,,,,,,19.0,4.894736842105263,0.0,1.0,UNKNOWN,0.0,10.5,0.0,PARTIAL,2.0,1.0,0.0,0.0,True,1,LOW,,,insufficient_signal
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,3.9,964,10.0,2.6,0.5,0.4,ROOM;FOOD;PRICE_VALUE;CLEANLINESS;BAR_DRINKS,ANIMATION_ENTERTAINMENT;RESERVATION,PRICE_VALUE;FOOD;ROOM,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD031,Okaliptus Otel,Bitez,4.0,474,10.0,3.5,0.4,0.6,ROOM;FOOD;CLEANLINESS;STAFF;BEACH_SEA,BEACH_SEA;STAFF;BAR_DRINKS,ROOM;FOOD;CLEANLINESS,47.0,3.3191489361702127,0.277,0.447,UNKNOWN,12.8,8.5,1.0,PARTIAL,8.0,1.0,0.0,1.0,True,2,HIGH,0.181,SUPPORTED_COMPARISON,platform_consistent_concern_profile
BOD032,Paloma Family Club Bitez,Bitez,4.4,1201,60.0,4.583333333333333,0.033,0.917,STAFF;FOOD;CLEANLINESS;BAR_DRINKS;ROOM,STAFF;FOOD;BAR_DRINKS,,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,4.3,870,39.0,4.717948717948718,0.051,0.923,ROOM;CLEANLINESS;LOCATION;FOOD;STAFF,ROOM;CLEANLINESS;LOCATION,AIR_CONDITIONING,64.0,4.28671875,0.125,0.844,UNKNOWN,23.4,15.6,6.0,PARTIAL,11.0,1.0,3.0,0.0,True,2,HIGH,0.431,SUPPORTED_COMPARISON,platform_consistent_strong_profile;wellness_oriented_profile
BOD034,Çınar Butik Otel Bodrum,Bitez,4.4,226,10.0,2.7,0.6,0.4,CLEANLINESS;NOISE;PRICE_VALUE;ROOM;FOOD,BAR_DRINKS;STAFF,CLEANLINESS;NOISE;FOOD,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,4.0,1926,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,4.6,1102,10.0,5.0,0.0,1.0,STAFF;CLEANLINESS;FOOD;ROOM;BED_COMFORT,STAFF;CLEANLINESS;FOOD,,63.0,4.696031746031746,0.032,0.952,UNKNOWN,17.5,27.0,6.0,PARTIAL,9.0,1.0,3.0,1.0,True,2,HIGH,0.304,SUPPORTED_COMPARISON,platform_consistent_strong_profile;wellness_oriented_profile
BOD037,Bodrum Bay Resort,Bodrum Merkez,3.3,1825,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD038,Casa Mare Bodrum,Bodrum Merkez,4.0,274,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD039,Casa Nonna Bodrum,Bodrum Merkez,4.6,238,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,4.1,3022,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,4.3,1764,,,,,,,,59.0,4.237288135593221,0.068,0.797,UNKNOWN,16.9,6.8,6.0,PARTIAL,10.0,1.0,1.0,1.0,True,1,LOW,,,insufficient_signal
BOD042,Mandarin Resort Hotel,Bodrum Merkez,3.9,1647,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,4.7,1575,10.0,4.6,0.0,0.8,SERVICE;STAFF;ROOM;CLEANLINESS;FOOD,SERVICE;ROOM;STAFF,,90.0,4.588888888888889,0.022,0.889,UNKNOWN,25.6,24.4,7.0,PARTIAL,13.0,1.0,3.0,3.0,True,2,HIGH,0.011,SUPPORTED_COMPARISON,platform_consistent_strong_profile;beach_oriented_profile;wellness_oriented_profile
BOD044,Noa Suite Hotel,Bodrum Merkez,4.8,98,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD045,Salmakis Resort & Spa,Bodrum Merkez,4.2,2681,64.0,3.859375,0.219,0.719,FOOD;STAFF;CLEANLINESS;ROOM;BEACH_SEA,FOOD;STAFF;CLEANLINESS,SERVICE;CHECKIN_CHECKOUT;MANAGEMENT,51.0,3.872549019607843,0.118,0.627,UNKNOWN,15.7,23.5,5.0,PARTIAL,16.0,4.0,3.0,2.0,True,2,HIGH,-0.013,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD046,Senses Hotel,Bodrum Merkez,4.7,1035,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD047,The Marmara Bodrum,Bodrum Merkez,4.7,987,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD048,Babana Hotel,Göltürkbükü,4.7,221,10.0,5.0,0.0,1.0,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,STAFF;FOOD;BEACH_SEA,,12.0,4.0,0.25,0.75,UNKNOWN,33.3,16.7,0.0,PARTIAL,9.0,2.0,0.0,1.0,True,2,MEDIUM,1.0,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;source_divergent_profile
BOD049,Casa Del Mar Bodrum,Göltürkbükü,4.6,263,26.0,3.5,0.346,0.577,CLEANLINESS;ROOM;FAMILY_KIDS;LOCATION;FOOD,FAMILY_KIDS;LOCATION;BAR_DRINKS,CLEANLINESS;ROOM;STAFF,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,4.3,590,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,4.4,373,21.0,4.523809523809524,0.048,0.857,STAFF;FOOD;BEACH_SEA;ROOM;CLEANLINESS,STAFF;BEACH_SEA;FOOD,,11.0,3.1818181818181817,0.364,0.636,FAMILY,36.4,0.0,2.0,PARTIAL,4.0,1.0,0.0,1.0,True,2,HIGH,1.342,SUPPORTED_COMPARISON,platform_consistent_strong_profile;platform_consistent_concern_profile;source_divergent_profile
BOD052,Flamm Bodrum,Göltürkbükü,4.5,766,69.0,4.463768115942029,0.13,0.855,STAFF;FOOD;BEACH_SEA;ROOM;SERVICE,FOOD;STAFF;BEACH_SEA,AIR_CONDITIONING,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD053,Gölköy Suites,Göltürkbükü,4.4,212,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD054,Lavinya Maison,Göltürkbükü,4.4,139,10.0,4.6,0.1,0.9,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BEACH_SEA;FOOD;CLEANLINESS,BED_COMFORT,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,4.6,132,10.0,4.6,0.1,0.9,STAFF;BEACH_SEA;FOOD;ROOM;CLEANLINESS,BEACH_SEA;STAFF;FOOD,BAR_DRINKS,11.0,4.2727272727272725,0.091,0.818,UNKNOWN,27.3,0.0,0.0,PARTIAL,7.0,1.0,0.0,1.0,True,2,MEDIUM,0.327,SUPPORTED_COMPARISON,platform_consistent_strong_profile
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,4.7,2728,40.0,4.6,0.075,0.875,SERVICE;STAFF;ROOM;LOCATION;FACILITIES,SERVICE;STAFF;LOCATION,PRICE_VALUE;FAMILY_KIDS;CHECKIN_CHECKOUT,11.0,4.636363636363637,0.091,0.818,FAMILY,45.5,9.1,2.0,PARTIAL,17.0,4.0,3.0,3.0,True,2,HIGH,-0.036,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD057,Selvi Bodrum,Göltürkbükü,4.2,584,79.0,3.5063291139240507,0.228,0.506,ROOM;BEACH_SEA;FOOD;PRICE_VALUE;STAFF,PRICE_VALUE;STAFF;LOCATION,WIFI,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD058,Bodrum Beach Resort,Gümbet,3.7,1678,10.0,4.4,0.1,0.8,ROOM;FOOD;FAMILY_KIDS;POOL;PRICE_VALUE,ROOM;FOOD;POOL,COMMUNICATION;CHECKIN_CHECKOUT;FACILITIES,11.0,3.840909090909091,0.091,0.545,FRIENDS,18.2,27.3,7.0,PARTIAL,4.0,1.0,0.0,0.0,True,2,MEDIUM,0.559,SUPPORTED_COMPARISON,insufficient_signal
BOD059,Bodrum Hotel Baba,Gümbet,3.7,465,,,,,,,,11.0,2.272727272727273,0.545,0.182,UNKNOWN,0.0,9.1,0.0,PARTIAL,9.0,1.0,1.0,1.0,True,1,LOW,,,insufficient_signal
BOD060,Club Shark Hotel,Gümbet,4.2,1124,78.0,4.307692307692308,0.141,0.846,STAFF;CLEANLINESS;FOOD;ROOM;ANIMATION_ENTERTAINMENT,STAFF;CLEANLINESS;FOOD,CHECKIN_CHECKOUT;REFUND_PAYMENT,43.0,4.325581395348837,0.07,0.814,UNKNOWN,4.7,7.0,0.0,PARTIAL,9.0,1.0,3.0,1.0,True,2,HIGH,-0.018,SUPPORTED_COMPARISON,platform_consistent_strong_profile;wellness_oriented_profile
BOD061,Gümbet Anıl Beach,Gümbet,4.3,1489,65.0,4.0,0.154,0.708,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,FOOD;ROOM;STAFF,CHECKIN_CHECKOUT;FACILITIES;RESERVATION,41.0,4.219512195121951,0.146,0.805,UNKNOWN,19.5,0.0,0.0,PARTIAL,6.0,2.0,0.0,1.0,True,2,HIGH,-0.22,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,3.9,237,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD063,Jasmin Beach Hotel,Gümbet,3.9,2330,30.0,3.7666666666666666,0.267,0.633,FOOD;ROOM;CLEANLINESS;STAFF;BAR_DRINKS,FOOD;CLEANLINESS;ROOM,RESERVATION;COMMUNICATION;AIR_CONDITIONING,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD064,Jasmin Elite Residence & Spa,Gümbet,4.5,600,29.0,3.793103448275862,0.276,0.69,ROOM;CLEANLINESS;STAFF;FOOD;LOCATION,ROOM;CLEANLINESS;FOOD,STAFF;CHECKIN_CHECKOUT;COMMUNICATION,88.0,4.573863636363637,0.045,0.886,UNKNOWN,12.5,19.3,8.0,PARTIAL,6.0,1.0,2.0,0.0,True,2,HIGH,-0.781,SUPPORTED_COMPARISON,wellness_oriented_profile;source_divergent_profile
BOD065,Mirada Exclusive Bodrum,Gümbet,4.8,1905,21.0,4.428571428571429,0.048,0.857,FOOD;STAFF;BEACH_SEA;BAR_DRINKS;ROOM,FOOD;BEACH_SEA;STAFF,,63.0,4.920634920634921,0.0,1.0,FAMILY,42.9,17.5,5.0,PARTIAL,13.0,4.0,3.0,1.0,True,2,HIGH,-0.492,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile;wellness_oriented_profile
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,4.0,3511,10.0,4.0200000000000005,0.1,0.7,STAFF;ROOM;FOOD;ANIMATION_ENTERTAINMENT;BEACH_SEA,ROOM;FOOD;STAFF,MANAGEMENT;REFUND_PAYMENT,74.0,3.79054054054054,0.176,0.622,UNKNOWN,10.8,16.2,5.0,PARTIAL,10.0,2.0,0.0,1.0,True,2,HIGH,0.229,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile
BOD067,Sami Beach Hotel,Gümbet,4.0,2089,59.0,3.8135593220338975,0.254,0.695,FOOD;STAFF;ROOM;BEACH_SEA;CLEANLINESS,FOOD;STAFF;BEACH_SEA,ROOM;FACILITIES;CHECKIN_CHECKOUT,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD068,Selectum Colours Bodrum,Gümbet,4.8,13412,10.0,3.9,0.2,0.7,BAR_DRINKS;STAFF;FOOD;CLEANLINESS;ROOM,BAR_DRINKS;ROOM;FOOD,,45.0,3.9166666666666665,0.133,0.733,FAMILY,40.0,20.0,6.0,PARTIAL,0.0,1.0,0.0,0.0,True,2,HIGH,-0.017,SUPPORTED_COMPARISON,platform_consistent_strong_profile;family_oriented_profile
BOD069,Siesta Beach Apart,Gümbet,3.4,502,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD070,The Luvi Hotel,Gümbet,3.7,1226,30.0,3.733333333333333,0.267,0.667,STAFF;CLEANLINESS;ROOM;FOOD;BEACH_SEA,CLEANLINESS;STAFF;FOOD,FACILITIES;AIR_CONDITIONING;NOISE,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD071,Tropicana Beach Hotel,Gümbet,4.3,281,25.0,3.36,0.32,0.52,STAFF;ROOM;CLEANLINESS;FOOD;BEACH_SEA,LOCATION;FAMILY_KIDS;TRANSPORT_TRANSFER,CLEANLINESS;NOISE;PRICE_VALUE,12.0,3.9166666666666665,0.167,0.667,UNKNOWN,25.0,8.3,0.0,,,,,,False,2,MEDIUM,-0.557,SUPPORTED_COMPARISON,platform_consistent_concern_profile
BOD072,VERY CHIC BODRUM,Gümbet,4.2,1670,,,,,,,,11.0,4.75,0.0,0.909,UNKNOWN,0.0,27.3,4.0,PARTIAL,5.0,1.0,1.0,0.0,True,1,LOW,,,insufficient_signal
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,4.3,219,26.0,4.153846153846154,0.154,0.769,FOOD;STAFF;ROOM;PRICE_VALUE;BEACH_SEA,FOOD;BEACH_SEA;PRICE_VALUE,NOISE;REFUND_PAYMENT,10.0,4.55,0.0,0.8,COUPLE,0.0,30.0,2.0,PARTIAL,2.0,1.0,0.0,0.0,True,2,HIGH,-0.396,SUPPORTED_COMPARISON,platform_consistent_strong_profile
BOD074,Begonvil Gümüşlük,Gümüşlük,4.8,36,28.0,4.857142857142857,0.0,0.964,CLEANLINESS;BEACH_SEA;ROOM;LOCATION;MANAGEMENT,CLEANLINESS;BEACH_SEA;ROOM,,3.0,5.0,0.0,1.0,FRIENDS,33.3,0.0,0.0,PARTIAL,1.0,1.0,0.0,0.0,True,2,HIGH,-0.143,LOW_SUPPORT,platform_consistent_strong_profile
BOD075,Benjamin Otel,Gümüşlük,5.0,487,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD076,Gümüşlük No3,Gümüşlük,5.0,52,,,,,,,,6.0,4.666666666666667,0.0,1.0,UNKNOWN,0.0,0.0,0.0,PARTIAL,2.0,1.0,0.0,0.0,True,1,LOW,,,insufficient_signal
BOD077,Ladonia Hotels Zemda,Gümüşlük,3.8,376,20.0,2.05,0.75,0.25,CLEANLINESS;ROOM;STAFF;BEACH_SEA;PRICE_VALUE,,CLEANLINESS;ROOM;STAFF,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,4.8,411,,,,,,,,11.0,4.227272727272728,0.182,0.727,COUPLE,9.1,54.5,5.0,PARTIAL,8.0,1.0,0.0,2.0,True,1,LOW,,,beach_oriented_profile
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,4.2,362,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD080,Myndos Oda & kahvalti,Gümüşlük,4.2,171,10.0,3.8,0.3,0.7,ROOM;CLEANLINESS;BEACH_SEA;STAFF;LOCATION,ROOM;BEACH_SEA;STAFF,CLEANLINESS;BEACH_SEA;LOCATION,,,,,,,,,,,,,,False,1,LOW,,,insufficient_signal
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,4.5,276,,,,,,,,28.0,4.160714285714286,0.143,0.786,UNKNOWN,3.6,10.7,2.0,PARTIAL,2.0,1.0,0.0,1.0,True,1,LOW,,,insufficient_signal
BOD082,Otel Gümüşlük,Gümüşlük,4.5,442,,,,,,,,18.0,4.555555555555555,0.056,0.944,UNKNOWN,16.7,5.6,0.0,PARTIAL,6.0,1.0,0.0,0.0,True,1,LOW,,,insufficient_signal
BOD083,Oza butik hotel,Gümüşlük,4.7,143,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD084,Paradise Garden Apartments,Gümüşlük,4.7,55,,,,,,,,,,,,,,,,,,,,,False,0,VERY_LOW,,,low_data_profile
BOD085,Paradise Gümüşlük,Gümüşlük,4.5,37,,,,,,,,12.0,4.25,0.167,0.75,UNKNOWN,8.3,25.0,0.0,PARTIAL,3.0,1.0,0.0,0.0,True,1,LOW,,,insufficient_signal
