review_id,hotel_id,hotel_name,area,source_platform,review_text,review_text_clean,source_rating,source_rating_max,rating_5_scale,rating_group,review_date,review_date_raw,stay_year,stay_month,stay_date_raw,traveler_type,traveler_type_raw,room_type,room_type_raw,reviewer_location,reviewer_country,customer_tier,customer_tier_raw,reviewer_review_count,review_hash,source_url,collected_at,quality_flags
11,BOD002,Armonia Holiday Village & Spa,Akyarlar,trip,"We had a rest in the hotel with friends, we had very good impressions. Expectations coincided with reality. Good food, every evening the animation team conducts programs. Thanks to the guys, especially Sahin, Ayse, Rubi, sweet guys","We had a rest in the hotel with friends, we had very good impressions. Expectations coincided with reality. Good food, every evening the animation team conducts programs. Thanks to the guys, especially Sahin, Ayse, Rubi, sweet guys",8.0,10.0,4.0,HIGH,2025-08-10,"Posted August 10, 2025",2025,8,Stayed in August 2025,UNKNOWN,,UNKNOWN,,,,NONE,,,3ab25f42cded61d564d67a138c597272e66ff62be8a80a9f53179f466b265e43,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,2026-08-26T23:54:45Z,
12,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Value price,Value price,8.0,10.0,4.0,HIGH,2026-04-22,"Posted April 22, 2026",2026,4,Stayed in April 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,0fed980006760ef6da02a788a3242a873899571a9a7b9d033dc433eaa87e792e,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,VERY_SHORT
13,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Helpful staff member. Breakfast can be improved.. loved the access to Karaincir beach.,Helpful staff member. Breakfast can be improved.. loved the access to Karaincir beach.,6.0,10.0,3.0,MID,2024-09-30,"Posted September 30, 2024",2024,9,Stayed in September 2024,UNKNOWN,,UNKNOWN,,,,NONE,,,f0e04ded5fba1028f48adc2add33f5f7a6e47f0abb0191029e54d0fb50d5f4ae,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
14,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Good for the price and budget traveller,Good for the price and budget traveller,8.0,10.0,4.0,HIGH,2024-08-13,"Posted August 13, 2024",2024,8,Stayed in August 2024,FAMILY,Family,UNKNOWN,,,,NONE,,,911528ff651058b86aefef8bac7cc0f83897f03b508371df0264a4f184270048,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
15,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Всё просто замечательно, всем рекомендую, прекрасные места, отель тоже красивый.","Всё просто замечательно, всем рекомендую, прекрасные места, отель тоже красивый.",10.0,10.0,5.0,HIGH,2026-04-23,"Posted April 23, 2026",2026,4,Stayed in April 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,94b64d66001656873c211725e9fbd8cc896723186bd0831bceb1ce4034a3f0c3,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
16,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Zentrale Lage mit Mietwagen, daher schnell in Botrum und Umgebung. Leider ist am frühen Morgen das Duschwasser noch etwas frisch (Sonnencollektoren).","Zentrale Lage mit Mietwagen, daher schnell in Botrum und Umgebung. Leider ist am frühen Morgen das Duschwasser noch etwas frisch (Sonnencollektoren).",8.0,10.0,4.0,HIGH,2024-09-22,"Posted September 22, 2024",2024,9,Stayed in September 2024,FAMILY,Family,UNKNOWN,,,,NONE,,,16cb855e779891853c22933d01dab65042c0ad9059da1c97cfb38f66229a3b6f,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
17,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Horrivel. O quarto estava literalmente caindo aos pedaços, a porta que ligava o quarto para a área externa estava toda quebrada e não fechava, tivemos que fazer uma engenharia com cabides. O banheiro fedido e sujo, não tem vidro no box e a água vai toda para o banheiro, não tem chuveiro apenas chuveirinho, tem que tomar banho segurando ele. Café da manhã você tem que pagar para tomar o café, e as opções de comida são salsicha, batata frita, pão e queijo. Um verdadeiro horror, e acham que estão certos e não aceitam devolver o dinheiro. Ficamos uma noite, das três, e resolvemos sair e pagar outro hotel. Perdemos de fazer passeios pelo estresse gerado pelo hotel. Único ponto bom: a vista do hotel é bonita.","Horrivel. O quarto estava literalmente caindo aos pedaços, a porta que ligava o quarto para a área externa estava toda quebrada e não fechava, tivemos que fazer uma engenharia com cabides. O banheiro fedido e sujo, não tem vidro no box e a água vai toda para o banheiro, não tem chuveiro apenas chuveirinho, tem que tomar banho segurando ele. Café da manhã você tem que pagar para tomar o café, e as opções de comida são salsicha, batata frita, pão e queijo. Um verdadeiro horror, e acham que estão certos e não aceitam devolver o dinheiro. Ficamos uma noite, das três, e resolvemos sair e pagar outro hotel. Perdemos de fazer passeios pelo estresse gerado pelo hotel. Único ponto bom: a vista do hotel é bonita.",2.0,10.0,1.0,LOW,2024-09-12,"Posted September 12, 2024",2024,9,Stayed in September 2024,UNKNOWN,,UNKNOWN,,,,NONE,,,94b22f9779864bb80925dcf2e327cf840a80de5bc48fc0adc9d8a837b0fae67e,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
18,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Kötü konaklama tesisi Bir kere berbat bir deneyim yani otel diye adlandırmamak lazım tv bozuk air condition yetersiz tuvalet terasta vs,Kötü konaklama tesisi Bir kere berbat bir deneyim yani otel diye adlandırmamak lazım tv bozuk air condition yetersiz tuvalet terasta vs,2.0,10.0,1.0,LOW,2024-07-19,"Posted July 19, 2024",2024,7,Stayed in July 2024,UNKNOWN,,UNKNOWN,,,,NONE,,,d6d41ffe003895f526e20f926513c03208b058ac599f3830ce3c5bdf3960d4cb,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
19,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Otelden yeni ayrıldık, odanın temizliği hiç iyi değildi. Tuvalet ve banyo aşırı kirliydi ve temizliği yapan personel sadece paspas tarzı bir süpürge ile temizlik yapıyordu. Havluda lekeler vardı neyseki kendimiz yanımıza almıştık. Kahvaltısı orta halli iyiydi ama bardak, ya da çatal bıçak da temiz değildi. Ayrıca soğan kestikleri bıçak ile karpuz ve peynir de kesmişler.. bunların dışında plaja yakın yürüme mesafesinde, anlaşmalı olan plajı güzeldi.","Otelden yeni ayrıldık, odanın temizliği hiç iyi değildi. Tuvalet ve banyo aşırı kirliydi ve temizliği yapan personel sadece paspas tarzı bir süpürge ile temizlik yapıyordu. Havluda lekeler vardı neyseki kendimiz yanımıza almıştık. Kahvaltısı orta halli iyiydi ama bardak, ya da çatal bıçak da temiz değildi. Ayrıca soğan kestikleri bıçak ile karpuz ve peynir de kesmişler.. bunların dışında plaja yakın yürüme mesafesinde, anlaşmalı olan plajı güzeldi.",4.0,10.0,2.0,LOW,2024-07-22,"Posted July 22, 2024",2024,7,Stayed in July 2024,UNKNOWN,,UNKNOWN,,,,NONE,,,b822488506149c9f3e2daec0d71c6ec8a50d6cffceb3399c23520bc7a2b2277f,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
20,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Acil çözüm aradiğimiz için bir gece konakladik.Personel iyi ama otel eski ve vasat,Acil çözüm aradiğimiz için bir gece konakladik.Personel iyi ama otel eski ve vasat,6.0,10.0,3.0,MID,2024-04-25,"Posted April 25, 2024",2024,4,Stayed in April 2024,UNKNOWN,,UNKNOWN,,,,NONE,,,48bc37e525c74b27db3c4757899b3e561b190b8aa0164985a483f3ced5bc4c36,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
21,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Otelin konumu güzel sakin denizi efsane,Otelin konumu güzel sakin denizi efsane,10.0,10.0,5.0,HIGH,2024-03-28,"Posted March 28, 2024",2024,3,Stayed in March 2024,BUSINESS,Business traveler,UNKNOWN,,,,NONE,,,8ffcca8912331d2f15749d954594b100c0d08981c8dbb99133279d20b4e81027,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
22,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Boutique eccessivo…per una notte va bene! Hotel essenziale a 20 km da Bodrum. Le semplici stanze avrebbero bisogno di un po’ di manutenzione. La parte più bella è quella esterna: terrazza vista mare per colazione (basica) e la piscina…,Boutique eccessivo...per una notte va bene! Hotel essenziale a 20 km da Bodrum. Le semplici stanze avrebbero bisogno di un po’ di manutenzione. La parte più bella è quella esterna: terrazza vista mare per colazione (basica) e la piscina...,6.0,10.0,3.0,MID,2023-09-07,"Posted September 7, 2023",2023,9,Stayed in September 2023,UNKNOWN,,UNKNOWN,,,,NONE,,,5968933bf924ce48a24d049203cf51cfb2334deab5ad9521f9f60d704174b6b6,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
23,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Yatak rahat değildi yer guzel,Yatak rahat değildi yer guzel,8.0,10.0,4.0,HIGH,2023-10-15,"Posted October 15, 2023",2023,10,Stayed in October 2023,UNKNOWN,,UNKNOWN,,,,NONE,,,6f96a8e1ffa1a146e478216fa4599a78a683d37bd306ed69ca3d6d94a1c2334b,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
24,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Plaja 2 ek yürüme mesafesinde tesis konum olarak ve manzarası harika Bodrum'un en güzel denizi karaincirde olması bizim için tercih sebebi tam fiyat performans oteli,Plaja 2 ek yürüme mesafesinde tesis konum olarak ve manzarası harika Bodrum'un en güzel denizi karaincirde olması bizim için tercih sebebi tam fiyat performans oteli,10.0,10.0,5.0,HIGH,2026-03-02,"Posted March 2, 2026",2026,3,Stayed in March 2026,BUSINESS,Business traveler,UNKNOWN,,,,NONE,,,bebc6b57a80115c32408526a4a6f0ed42d472de263f7c53d1dae0aebe58cca4e,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
25,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Her şey çok güzeldi, oda, kahvaltı, havuz, çalışanların ilgisi… Biz çok memnun kaldık, . Öncelikle otelin hayvansever olması çok güzel, Odalar temizdi, yemekler çok güzeldi. Otelin denize yakın olması da ayrı bir avantajdı. Otele çok yakın bir sürü market ve eczane olması da çok iyi. Her şey için tekrar teşekkür ederiz, daha sonraki tatillerimde kesinlikle tekrar geleceğim bir yer","Her şey çok güzeldi, oda, kahvaltı, havuz, çalışanların ilgisi... Biz çok memnun kaldık, . Öncelikle otelin hayvansever olması çok güzel, Odalar temizdi, yemekler çok güzeldi. Otelin denize yakın olması da ayrı bir avantajdı. Otele çok yakın bir sürü market ve eczane olması da çok iyi. Her şey için tekrar teşekkür ederiz, daha sonraki tatillerimde kesinlikle tekrar geleceğim bir yer",10.0,10.0,5.0,HIGH,2026-02-27,"Posted February 27, 2026",2026,2,Stayed in February 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,bb5f6197991c5647c0cd99555970735e4647bf629ce1624b27ca39b8d59e67d3,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
26,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,"Dört kişi aile olarak konakladık. Otel genel anlamda güzel, butik otel tarzında, Bodrum evleri mimarisi ile site gibi planlanmış sakin huzurlu bir tesis. Karaincir koyunda . Havuzu otele göre yeterliydi. Kaldığımız oda ***et ferah, geniş ve rahattı. Kahvaltısı standart olup, açıkbüfe konseptinde verilmektedir.","Dört kişi aile olarak konakladık. Otel genel anlamda güzel, butik otel tarzında, Bodrum evleri mimarisi ile site gibi planlanmış sakin huzurlu bir tesis. Karaincir koyunda . Havuzu otele göre yeterliydi. Kaldığımız oda ***et ferah, geniş ve rahattı. Kahvaltısı standart olup, açıkbüfe konseptinde verilmektedir.",10.0,10.0,5.0,HIGH,2026-02-27,"Posted February 27, 2026",2026,2,Stayed in February 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,504255da01f51b8cc74ea83356327c8e37bec9d95b322d48a4d789cd6e57899d,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
27,BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,trip,Manzarali temiz odalari olan sirin bir flyat performans oteli,Manzarali temiz odalari olan sirin bir flyat performans oteli,10.0,10.0,5.0,HIGH,2026-04-02,"Posted April 2, 2026",2026,4,Stayed in April 2026,UNKNOWN,,UNKNOWN,,,,NONE,,,f8ec029a02cb040e425605b485f847752c4f1a9976424ee22424b104fce40a90,https://www.trip.com/hotels/detail/?hotelId=106791418,2026-08-26T23:55:21Z,
