hotel_id,google_n,google_mean,google_median,google_low_share,google_high_share,trip_n,trip_mean_5,trip_median_5,trip_low_share,trip_high_share,rating_gap_mean,rating_gap_median,agreement,comparison_support
BOD106,11.0,3.727272727272727,4.0,0.09090909090909091,0.5454545454545454,57.0,4.7894736842105265,5.0,0.0,0.9473684210526315,-1.062,-1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD107,10.0,4.5,5.0,0.1,0.9,44.0,4.403409090909091,5.0,0.11363636363636363,0.8409090909090909,0.097,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD108,10.0,3.6,4.5,0.4,0.6,41.0,4.536585365853658,5.0,0.07317073170731707,0.8780487804878049,-0.937,-0.5,DISAGREEMENT,SUPPORTED_COMPARISON
BOD111,30.0,3.8333333333333335,5.0,0.23333333333333334,0.7,9.0,4.055555555555555,5.0,0.1111111111111111,0.6666666666666666,-0.222,0.0,HIGH_AGREEMENT,LOW_SUPPORT
BOD120,10.0,3.8,5.0,0.3,0.7,39.0,4.051282051282051,5.0,0.20512820512820512,0.6923076923076923,-0.251,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD122,10.0,4.4,5.0,0.1,0.9,11.0,3.9318181818181817,4.0,0.18181818181818182,0.6363636363636364,0.468,1.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD126,10.0,4.6,5.0,0.1,0.9,27.0,4.481481481481482,5.0,0.0,0.8888888888888888,0.119,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD128,87.0,4.781609195402299,5.0,0.022988505747126436,0.9310344827586207,25.0,4.6,5.0,0.04,0.92,0.182,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD130,10.0,3.3,4.0,0.4,0.6,44.0,4.107954545454546,5.0,0.13636363636363635,0.7272727272727273,-0.808,-1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD131,20.0,4.6,5.0,0.05,0.95,44.0,4.409090909090909,5.0,0.06818181818181818,0.8636363636363636,0.191,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD134,10.0,2.8,2.0,0.6,0.4,18.0,4.222222222222222,5.0,0.1111111111111111,0.7777777777777778,-1.422,-3.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD136,10.0,4.9,5.0,0.0,1.0,24.0,4.833333333333333,5.0,0.0,1.0,0.067,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD140,10.0,3.3,4.0,0.4,0.6,45.0,4.583333333333333,5.0,0.022222222222222223,0.8888888888888888,-1.283,-1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD147,10.0,4.5,5.0,0.1,0.9,14.0,4.785714285714286,5.0,0.0,1.0,-0.286,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD152,20.0,4.6,5.0,0.1,0.9,73.0,4.876712328767123,5.0,0.0,0.9726027397260274,-0.277,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD162,20.0,4.85,5.0,0.05,0.95,65.0,4.3538461538461535,5.0,0.09230769230769231,0.8,0.496,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD167,11.0,3.909090909090909,5.0,0.2727272727272727,0.7272727272727273,62.0,4.451612903225806,5.0,0.0967741935483871,0.8548387096774194,-0.543,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD180,10.0,4.95,5.0,0.0,1.0,56.0,4.696428571428571,5.0,0.05357142857142857,0.9285714285714286,0.254,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD189,33.0,3.8484848484848486,5.0,0.2727272727272727,0.696969696969697,62.0,4.387096774193548,5.0,0.14516129032258066,0.8548387096774194,-0.539,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD190,20.0,4.35,5.0,0.2,0.8,18.0,2.4444444444444446,1.5,0.6111111111111112,0.2777777777777778,1.906,3.5,DISAGREEMENT,SUPPORTED_COMPARISON
