hotel_id,hotel_name,area,google_verified,trip_verified,platform_coverage_count
BOD068,Selectum Colours Bodrum,Gümbet,True,True,2
BOD069,Siesta Beach Apart,Gümbet,False,False,0
BOD070,The Luvi Hotel,Gümbet,True,False,1
BOD071,Tropicana Beach Hotel,Gümbet,True,True,2
BOD072,VERY CHIC BODRUM,Gümbet,False,True,1
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,True,True,2
BOD074,Begonvil Gümüşlük,Gümüşlük,True,True,2
BOD075,Benjamin Otel,Gümüşlük,False,False,0
BOD076,Gümüşlük No3,Gümüşlük,False,True,1
BOD077,Ladonia Hotels Zemda,Gümüşlük,True,False,1
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,False,True,1
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,False,False,0
BOD080,Myndos Oda & kahvalti,Gümüşlük,True,False,1
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,False,True,1
BOD082,Otel Gümüşlük,Gümüşlük,False,True,1
BOD083,Oza butik hotel,Gümüşlük,False,False,0
BOD084,Paradise Garden Apartments,Gümüşlük,False,False,0
BOD085,Paradise Gümüşlük,Gümüşlük,False,True,1
BOD086,Vega Aparts,Gümüşlük,True,True,2
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,True,False,1
BOD088,Baia Bodrum Hotel,Gündoğan,True,True,2
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,True,True,2
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,True,True,2
BOD091,Gündoğan Suites,Gündoğan,False,True,1
BOD092,Liona Hotel,Gündoğan,False,False,0
BOD093,Malta Bodrum Hotel,Gündoğan,False,False,0
BOD094,Marje Villas,Gündoğan,False,False,0
BOD095,Mivara Luxury Bodrum,Gündoğan,True,True,2
BOD096,Olira Boutique Hotel&SPA,Gündoğan,True,True,2
BOD097,OLİVE TREE HOTEL,Gündoğan,False,True,1
BOD098,Swissôtel Living Bodrum,Gündoğan,True,False,1
BOD099,Villa Oliva Butik Otel,Gündoğan,True,False,1
BOD100,Villa Rustica Hotel,Gündoğan,False,True,1
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,True,False,1
BOD102,Akyalı Butik Hotel,Güvercinlik,True,False,1
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,False,False,0
BOD104,Greenport Bodrum,Güvercinlik,True,False,1
BOD105,İsolina Hotel,Güvercinlik,True,False,1
BOD106,La Blanche Island Bodrum,Güvercinlik,True,True,2
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,True,True,2
BOD108,Lujo Hotel Bodrum,Güvercinlik,True,True,2
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,True,False,1
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,False,True,1
BOD111,Zena Hotel Bodrum,Güvercinlik,True,True,2
BOD112,Azure By Yelken Hotel,Kadıkalesi,False,True,1
BOD113,Kadıkale Resort,Kadıkalesi,True,False,1
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,False,False,0
BOD115,Yasmin Bodrum Resort,Kadıkalesi,False,True,1
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,True,False,1
BOD117,Altınkaya Hotel,Ortakent-Yahşi,False,False,0
BOD118,Amfora Hotel,Ortakent-Yahşi,False,True,1
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,True,False,1
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,True,True,2
BOD121,Eskiyalı Otel,Ortakent-Yahşi,False,True,1
BOD122,Florida Otel,Ortakent-Yahşi,True,True,2
BOD123,Hotel Marma Beach,Ortakent-Yahşi,True,False,1
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,False,True,1
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,True,False,1
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,True,True,2
BOD127,Kriss Hotel,Ortakent-Yahşi,True,False,1
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,True,True,2
BOD129,Meggs Bodrum,Ortakent-Yahşi,True,False,1
BOD130,Petunya Beach Resort,Ortakent-Yahşi,True,True,2
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,True,True,2
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,True,False,1
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,True,False,1
BOD134,Yakamoz Otel,Ortakent-Yahşi,True,True,2
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,False,False,0
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,True,True,2
BOD137,Armagan Apart Hotel,Torba,False,False,0
BOD138,Bodrum Blue Bay Otel,Torba,False,False,0
BOD139,Casa Dell'arte Otel,Torba,False,False,0
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,True,True,2
BOD141,DUJA BODRUM,Torba,False,True,1
BOD142,Hotel Torbahan,Torba,False,False,0
BOD143,Hotel Zeytinada,Torba,True,False,1
BOD144,Mira Suites,Torba,False,True,1
BOD145,Moyo Luxury Hotel & Beach,Torba,True,False,1
BOD146,Olivia Hotel,Torba,True,False,1
BOD147,Omar Hotel & Suites,Torba,True,True,2
BOD148,Rixos Premium Bodrum,Torba,True,False,1
BOD149,Roota Bodrum,Torba,False,False,0
BOD150,Samara Hotel,Torba,True,False,1
BOD151,Sarpedor Boutique Hotel & SPA,Torba,False,True,1
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,True,True,2
BOD153,The Oba Hotel,Torba,True,False,1
BOD154,Toka Bodrum Hotel & Beach Club,Torba,False,False,0
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,True,False,1
BOD156,Voyage Torba,Torba,True,False,1
BOD157,Voyage Torba Private,Torba,False,False,0
BOD158,Arin Resort Bodrum,Turgutreis,False,True,1
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,False,False,0
BOD160,La Blanche Resort Bodrum,Turgutreis,False,False,0
BOD161,MyElla Hotel Resort & Spa,Turgutreis,True,False,1
BOD162,Rammos Managed by Dedeman,Turgutreis,True,True,2
BOD163,Sundance Resort,Turgutreis,False,False,0
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,False,False,0
BOD165,Caja by Maxx Royal,Türkbükü,False,True,1
BOD166,Divan Bodrum,Türkbükü,True,False,1
BOD167,Elista Hotel & Spa,Türkbükü,True,True,2
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,True,False,1
BOD169,MACAKIZI BODRUM,Türkbükü,True,False,1
BOD170,No:81 Hotel,Türkbükü,False,True,1
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,True,False,1
BOD172,Ailla Yalıkavak,Yalıkavak,False,True,1
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,False,True,1
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,False,True,1
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,False,True,1
BOD176,Blue Point Yalikavak,Yalıkavak,False,False,0
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,False,True,1
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,False,False,0
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,False,False,0
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,True,True,2
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,False,True,1
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,False,False,0
BOD183,Ruins Luxury Resort,Yalıkavak,False,True,1
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,False,True,1
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,False,False,0
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,False,True,1
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,False,True,1
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,False,False,0
BOD189,The Bodrum EDITION,Yalıkavak,True,True,2
BOD190,The Sign Highlight Hotel,Yalıkavak,True,True,2
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,True,True,2
BOD192,Yalıpark Beach Hotel,Yalıkavak,False,True,1
