hotel_id,hotel_name,area,review_n,rating_profile,top_aspects,top_low_context_aspects,top_high_context_aspects,confidence_note
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,10,3.8,ROOM;FOOD;POOL;CLEANLINESS;STAFF,ROOM;STAFF;REFUND_PAYMENT,FOOD;CLEANLINESS;POOL,MODERATE
BOD122,Florida Otel,Ortakent-Yahşi,10,4.4,FOOD;BEACH_SEA;ROOM;CLEANLINESS;STAFF,,FOOD;BEACH_SEA;CLEANLINESS,MODERATE
BOD123,Hotel Marma Beach,Ortakent-Yahşi,28,4.04,BEACH_SEA;ROOM;STAFF;LOCATION;PRICE_VALUE,RESERVATION;REFUND_PAYMENT;COMMUNICATION,BEACH_SEA;ROOM;LOCATION,STRONGER
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,27,3.96,BEACH_SEA;SERVICE;FOOD;CLEANLINESS;STAFF,RESERVATION,BEACH_SEA;FOOD;CLEANLINESS,STRONGER
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,9,4.56,STAFF;CLEANLINESS;FOOD;ROOM;BEACH_SEA,SERVICE,CLEANLINESS;FOOD;STAFF,MODERATE
BOD127,Kriss Hotel,Ortakent-Yahşi,28,4.04,CLEANLINESS;STAFF;FOOD;ROOM;LOCATION,POOL;FACILITIES;AIR_CONDITIONING,CLEANLINESS;FOOD;STAFF,STRONGER
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,87,4.78,CLEANLINESS;ROOM;STAFF;FOOD;BEACH_SEA,,CLEANLINESS;ROOM;STAFF,STRONGER
BOD129,Meggs Bodrum,Ortakent-Yahşi,20,3.5,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,ROOM;MANAGEMENT;CHECKIN_CHECKOUT,BEACH_SEA;FOOD;CLEANLINESS,STRONGER
BOD130,Petunya Beach Resort,Ortakent-Yahşi,10,3.3,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BEACH_SEA;FOOD;ROOM,BEACH_SEA;STAFF;CLEANLINESS,MODERATE
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,20,4.6,FOOD;ROOM;BEACH_SEA;CLEANLINESS;STAFF,RESERVATION,FOOD;ROOM;BEACH_SEA,STRONGER
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,22,4.77,STAFF;BAR_DRINKS;FOOD;SERVICE;FAMILY_KIDS,,BAR_DRINKS;STAFF;FOOD,STRONGER
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,10,4.0,STAFF;BEACH_SEA;FOOD;PRICE_VALUE;CLEANLINESS,LOCATION,STAFF;BEACH_SEA;FOOD,MODERATE
BOD134,Yakamoz Otel,Ortakent-Yahşi,10,2.8,FOOD;STAFF;PRICE_VALUE;CLEANLINESS;BED_COMFORT,FOOD;PRICE_VALUE;STAFF,BEACH_SEA;FACILITIES,MODERATE
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,10,4.9,FOOD;STAFF;BEACH_SEA;LOCATION;CLEANLINESS,,FOOD;BEACH_SEA;STAFF,MODERATE
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,10,3.3,ROOM;FOOD;STAFF;CLEANLINESS;BAR_DRINKS,FOOD;ROOM;STAFF,FOOD;ROOM;PRICE_VALUE,MODERATE
BOD143,Hotel Zeytinada,Torba,9,5.0,STAFF;CLEANLINESS;FOOD;ROOM;NOISE,,STAFF;FOOD;CLEANLINESS,MODERATE
BOD145,Moyo Luxury Hotel & Beach,Torba,26,3.77,STAFF;ROOM;FOOD;BEACH_SEA;BAR_DRINKS,ROOM;BAR_DRINKS;SERVICE,STAFF;FOOD;BEACH_SEA,STRONGER
BOD146,Olivia Hotel,Torba,42,4.5,CLEANLINESS;FOOD;ROOM;LOCATION;STAFF,FACILITIES;HYGIENE;WIFI,CLEANLINESS;FOOD;ROOM,STRONGER
BOD147,Omar Hotel & Suites,Torba,10,4.5,FOOD;NOISE;BEACH_SEA;STAFF;ROOM,BAR_DRINKS;MANAGEMENT;RESERVATION,FOOD;BEACH_SEA;NOISE,MODERATE
BOD148,Rixos Premium Bodrum,Torba,20,4.55,STAFF;FOOD;BEACH_SEA;LOCATION;BAR_DRINKS,COMMUNICATION;RESERVATION;HYGIENE,FOOD;STAFF;BEACH_SEA,STRONGER
BOD150,Samara Hotel,Torba,20,3.7,ROOM;FOOD;CLEANLINESS;STAFF;BEACH_SEA,COMMUNICATION;HYGIENE;AIR_CONDITIONING,FOOD;ROOM;CLEANLINESS,STRONGER
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,20,4.6,STAFF;FOOD;CLEANLINESS;ROOM;BEACH_SEA,COMMUNICATION;PRICE_VALUE;ANIMATION_ENTERTAINMENT,STAFF;FOOD;CLEANLINESS,STRONGER
BOD153,The Oba Hotel,Torba,10,4.6,STAFF;SERVICE;BAR_DRINKS;BEACH_SEA;ROOM,,SERVICE;STAFF;BAR_DRINKS,MODERATE
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,10,4.1,STAFF;FOOD;BAR_DRINKS;BEACH_SEA;LOCATION,BAR_DRINKS;ANIMATION_ENTERTAINMENT;MANAGEMENT,BAR_DRINKS;BEACH_SEA;FOOD,MODERATE
BOD156,Voyage Torba,Torba,10,4.9,FOOD;STAFF;CLEANLINESS;ROOM;SERVICE,,FOOD;SERVICE;CLEANLINESS,MODERATE
BOD161,MyElla Hotel Resort & Spa,Turgutreis,10,1.5,CLEANLINESS;ROOM;FOOD;STAFF;BEACH_SEA,CLEANLINESS;FOOD;ROOM,,MODERATE
BOD162,Rammos Managed by Dedeman,Turgutreis,20,4.85,FOOD;STAFF;CLEANLINESS;ROOM;BED_COMFORT,,FOOD;CLEANLINESS;STAFF,STRONGER
BOD166,Divan Bodrum,Türkbükü,10,3.7,ROOM;STAFF;SERVICE;FOOD;NOISE,SERVICE;PRICE_VALUE;RESERVATION,ROOM;STAFF;FOOD,MODERATE
BOD167,Elista Hotel & Spa,Türkbükü,11,3.91,FOOD;ROOM;BEACH_SEA;SERVICE;CLEANLINESS,PRICE_VALUE;CHECKIN_CHECKOUT;COMMUNICATION,FOOD;ROOM;SERVICE,MODERATE
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,19,4.26,STAFF;SERVICE;FOOD;BEACH_SEA;ROOM,,STAFF;SERVICE;BEACH_SEA,MODERATE
BOD169,MACAKIZI BODRUM,Türkbükü,9,3.33,FOOD;BAR_DRINKS;BEACH_SEA;SERVICE;PRICE_VALUE,BEACH_SEA;COMMUNICATION;ROOM,BAR_DRINKS;FOOD;LOCATION,MODERATE
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,33,4.94,STAFF;ROOM;FOOD;LOCATION;CLEANLINESS,,STAFF;ROOM;FOOD,STRONGER
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,10,4.95,FOOD;LOCATION;BEACH_SEA;ROOM;STAFF,,LOCATION;FOOD;ROOM,MODERATE
BOD189,The Bodrum EDITION,Yalıkavak,32,3.94,STAFF;BEACH_SEA;SERVICE;FOOD;ROOM,PRICE_VALUE;FAMILY_KIDS;CHECKIN_CHECKOUT,STAFF;SERVICE;FOOD,STRONGER
BOD190,The Sign Highlight Hotel,Yalıkavak,20,4.35,STAFF;SERVICE;BEACH_SEA;ROOM;CLEANLINESS,BAR_DRINKS;PRICE_VALUE;FACILITIES,STAFF;SERVICE;BEACH_SEA,STRONGER
