hotel_id,aspect,google_mention_rate,google_low_context_share,trip_mention_rate,trip_low_context_share,consistency
BOD007,REFUND_PAYMENT,8.3,40.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,MANAGEMENT,13.3,37.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,COMMUNICATION,15.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD007,BAR_DRINKS,46.7,25.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD007,WIFI,1.7,0.0,0.0,,LOW_SUPPORT
BOD008,STAFF,80.0,0.0,72.7,12.5,BOTH_SOURCE_SIGNAL
BOD008,CLEANLINESS,70.0,0.0,63.6,14.3,BOTH_SOURCE_SIGNAL
BOD008,HYGIENE,5.0,0.0,0.0,,LOW_SUPPORT
BOD008,FOOD,75.0,0.0,63.6,14.3,BOTH_SOURCE_SIGNAL
BOD008,ROOM,85.0,0.0,54.5,16.7,BOTH_SOURCE_SIGNAL
BOD008,BED_COMFORT,35.0,0.0,9.1,100.0,GOOGLE_ONLY_SIGNAL
BOD008,BEACH_SEA,45.0,0.0,36.4,25.0,BOTH_SOURCE_SIGNAL
BOD008,POOL,45.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD008,SERVICE,15.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD008,PRICE_VALUE,30.0,0.0,18.2,0.0,GOOGLE_ONLY_SIGNAL
BOD008,LOCATION,25.0,0.0,27.3,0.0,BOTH_SOURCE_SIGNAL
BOD008,FACILITIES,10.0,0.0,18.2,50.0,LOW_SUPPORT
BOD008,NOISE,35.0,0.0,36.4,25.0,BOTH_SOURCE_SIGNAL
BOD008,FAMILY_KIDS,25.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD008,AIR_CONDITIONING,5.0,0.0,0.0,,LOW_SUPPORT
BOD008,MANAGEMENT,35.0,0.0,27.3,0.0,BOTH_SOURCE_SIGNAL
BOD008,BAR_DRINKS,20.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD010,STAFF,80.0,25.0,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,CLEANLINESS,80.0,37.5,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,HYGIENE,30.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD010,FOOD,80.0,37.5,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,ROOM,80.0,37.5,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,BED_COMFORT,20.0,50.0,0.0,,LOW_SUPPORT
BOD010,BEACH_SEA,90.0,33.3,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,POOL,30.0,66.7,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,SERVICE,30.0,33.3,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,PRICE_VALUE,30.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD010,LOCATION,40.0,50.0,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD010,NOISE,10.0,0.0,0.0,,LOW_SUPPORT
BOD010,FAMILY_KIDS,60.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD010,RESERVATION,20.0,50.0,0.0,,LOW_SUPPORT
BOD010,MANAGEMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD010,COMMUNICATION,10.0,0.0,0.0,,LOW_SUPPORT
BOD010,BAR_DRINKS,30.0,66.7,50.0,0.0,GOOGLE_ONLY_SIGNAL
BOD011,STAFF,90.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,CLEANLINESS,60.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,HYGIENE,10.0,0.0,9.1,0.0,LOW_SUPPORT
BOD011,FOOD,70.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,ROOM,50.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,BED_COMFORT,20.0,0.0,9.1,0.0,LOW_SUPPORT
BOD011,BEACH_SEA,70.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,SERVICE,60.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD011,PRICE_VALUE,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,LOCATION,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,FACILITIES,30.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD011,NOISE,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,FAMILY_KIDS,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,ANIMATION_ENTERTAINMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD011,CHECKIN_CHECKOUT,10.0,0.0,18.2,0.0,LOW_SUPPORT
BOD011,MANAGEMENT,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,BAR_DRINKS,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD011,WIFI,10.0,0.0,0.0,,LOW_SUPPORT
BOD012,STAFF,70.0,14.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,CLEANLINESS,70.0,14.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,FOOD,80.0,12.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,ROOM,60.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD012,BED_COMFORT,30.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,BEACH_SEA,50.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,POOL,50.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,SERVICE,50.0,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,PRICE_VALUE,50.0,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,LOCATION,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,FACILITIES,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,NOISE,80.0,12.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,FAMILY_KIDS,50.0,40.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,ANIMATION_ENTERTAINMENT,70.0,0.0,18.2,50.0,GOOGLE_ONLY_SIGNAL
BOD012,CHECKIN_CHECKOUT,20.0,0.0,9.1,0.0,LOW_SUPPORT
BOD012,RESERVATION,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,REFUND_PAYMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD012,MANAGEMENT,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD012,BAR_DRINKS,70.0,28.6,18.2,50.0,GOOGLE_ONLY_SIGNAL
BOD013,STAFF,59.7,16.3,12.5,100.0,GOOGLE_ONLY_SIGNAL
BOD013,CLEANLINESS,54.2,12.8,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,HYGIENE,8.3,50.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,FOOD,68.1,16.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,ROOM,61.1,18.2,12.5,0.0,GOOGLE_ONLY_SIGNAL
BOD013,BED_COMFORT,16.7,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,BEACH_SEA,52.8,10.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,POOL,26.4,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,SERVICE,34.7,24.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,PRICE_VALUE,22.2,25.0,12.5,0.0,GOOGLE_ONLY_SIGNAL
BOD013,LOCATION,27.8,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,FACILITIES,16.7,16.7,12.5,0.0,GOOGLE_ONLY_SIGNAL
BOD013,NOISE,40.3,17.2,12.5,100.0,GOOGLE_ONLY_SIGNAL
BOD013,FAMILY_KIDS,23.6,23.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,ANIMATION_ENTERTAINMENT,29.2,4.8,12.5,100.0,GOOGLE_ONLY_SIGNAL
BOD013,AIR_CONDITIONING,1.4,100.0,0.0,,LOW_SUPPORT
BOD013,CHECKIN_CHECKOUT,18.1,30.8,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,RESERVATION,13.9,50.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,TRANSPORT_TRANSFER,1.4,0.0,0.0,,LOW_SUPPORT
BOD013,MANAGEMENT,9.7,28.6,0.0,,GOOGLE_ONLY_SIGNAL
BOD013,COMMUNICATION,2.8,0.0,0.0,,LOW_SUPPORT
BOD013,BAR_DRINKS,48.6,14.3,12.5,0.0,GOOGLE_ONLY_SIGNAL
BOD013,WIFI,1.4,100.0,0.0,,LOW_SUPPORT
BOD014,STAFF,90.0,11.1,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD014,CLEANLINESS,90.0,11.1,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD014,HYGIENE,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,FOOD,90.0,11.1,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD014,ROOM,100.0,10.0,18.2,100.0,GOOGLE_ONLY_SIGNAL
BOD014,BED_COMFORT,70.0,14.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,BEACH_SEA,60.0,16.7,18.2,0.0,GOOGLE_ONLY_SIGNAL
BOD014,POOL,40.0,25.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD014,SERVICE,80.0,12.5,18.2,0.0,GOOGLE_ONLY_SIGNAL
BOD014,PRICE_VALUE,50.0,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,LOCATION,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,FACILITIES,60.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,NOISE,80.0,12.5,9.1,100.0,GOOGLE_ONLY_SIGNAL
BOD014,ANIMATION_ENTERTAINMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD014,CHECKIN_CHECKOUT,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD014,RESERVATION,40.0,25.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD014,REFUND_PAYMENT,10.0,0.0,0.0,,LOW_SUPPORT
BOD014,MANAGEMENT,20.0,50.0,0.0,,LOW_SUPPORT
BOD014,COMMUNICATION,10.0,0.0,0.0,,LOW_SUPPORT
BOD014,BAR_DRINKS,100.0,10.0,27.3,33.3,BOTH_SOURCE_SIGNAL
BOD016,STAFF,80.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,CLEANLINESS,90.0,22.2,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,HYGIENE,30.0,33.3,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,FOOD,80.0,12.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,ROOM,80.0,25.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD016,BED_COMFORT,50.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,BEACH_SEA,80.0,12.5,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,POOL,50.0,20.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,SERVICE,70.0,28.6,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,PRICE_VALUE,40.0,25.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,LOCATION,40.0,50.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,FACILITIES,70.0,28.6,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD016,NOISE,60.0,16.7,18.2,0.0,GOOGLE_ONLY_SIGNAL
BOD016,FAMILY_KIDS,30.0,0.0,9.1,0.0,GOOGLE_ONLY_SIGNAL
BOD016,ANIMATION_ENTERTAINMENT,70.0,14.3,18.2,0.0,GOOGLE_ONLY_SIGNAL
BOD016,CHECKIN_CHECKOUT,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,RESERVATION,40.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,REFUND_PAYMENT,30.0,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD016,TRANSPORT_TRANSFER,10.0,100.0,9.1,0.0,LOW_SUPPORT
BOD016,MANAGEMENT,20.0,50.0,0.0,,LOW_SUPPORT
BOD016,COMMUNICATION,20.0,50.0,0.0,,LOW_SUPPORT
BOD016,BAR_DRINKS,80.0,12.5,36.4,0.0,BOTH_SOURCE_SIGNAL
BOD020,STAFF,68.0,11.8,34.0,11.8,BOTH_SOURCE_SIGNAL
BOD020,CLEANLINESS,36.0,11.1,40.0,35.0,BOTH_SOURCE_SIGNAL
BOD020,HYGIENE,8.0,50.0,4.0,0.0,GOOGLE_ONLY_SIGNAL
BOD020,FOOD,54.0,11.1,42.0,28.6,BOTH_SOURCE_SIGNAL
BOD020,ROOM,34.0,17.6,32.0,12.5,BOTH_SOURCE_SIGNAL
BOD020,BED_COMFORT,18.0,22.2,8.0,50.0,BOTH_SOURCE_SIGNAL
BOD020,BEACH_SEA,28.0,21.4,18.0,22.2,BOTH_SOURCE_SIGNAL
BOD020,POOL,36.0,11.1,24.0,25.0,BOTH_SOURCE_SIGNAL
BOD020,SERVICE,22.0,9.1,16.0,0.0,BOTH_SOURCE_SIGNAL
BOD020,PRICE_VALUE,46.0,21.7,30.0,6.7,BOTH_SOURCE_SIGNAL
BOD020,LOCATION,30.0,13.3,10.0,20.0,BOTH_SOURCE_SIGNAL
BOD020,FACILITIES,8.0,0.0,14.0,14.3,BOTH_SOURCE_SIGNAL
BOD020,NOISE,16.0,50.0,8.0,75.0,BOTH_SOURCE_SIGNAL
BOD020,FAMILY_KIDS,40.0,20.0,6.0,33.3,BOTH_SOURCE_SIGNAL
BOD020,ANIMATION_ENTERTAINMENT,4.0,0.0,14.0,28.6,TRIP_ONLY_SIGNAL
BOD020,AIR_CONDITIONING,6.0,33.3,12.0,33.3,BOTH_SOURCE_SIGNAL
BOD020,CHECKIN_CHECKOUT,16.0,25.0,6.0,0.0,BOTH_SOURCE_SIGNAL
BOD020,RESERVATION,10.0,40.0,4.0,100.0,GOOGLE_ONLY_SIGNAL
BOD020,REFUND_PAYMENT,4.0,100.0,4.0,100.0,LOW_SUPPORT
BOD020,TRANSPORT_TRANSFER,0.0,,2.0,0.0,LOW_SUPPORT
BOD020,MANAGEMENT,18.0,11.1,6.0,0.0,BOTH_SOURCE_SIGNAL
BOD020,COMMUNICATION,2.0,0.0,4.0,0.0,LOW_SUPPORT
BOD020,BAR_DRINKS,36.0,16.7,30.0,26.7,BOTH_SOURCE_SIGNAL
BOD020,WIFI,8.0,0.0,12.0,50.0,BOTH_SOURCE_SIGNAL
BOD025,STAFF,80.0,75.0,38.1,0.0,BOTH_SOURCE_SIGNAL
BOD025,CLEANLINESS,100.0,60.0,23.8,0.0,BOTH_SOURCE_SIGNAL
BOD025,HYGIENE,40.0,100.0,4.8,0.0,GOOGLE_ONLY_SIGNAL
BOD025,FOOD,70.0,57.1,19.0,0.0,BOTH_SOURCE_SIGNAL
BOD025,ROOM,90.0,66.7,23.8,0.0,BOTH_SOURCE_SIGNAL
BOD025,BED_COMFORT,30.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD025,BEACH_SEA,50.0,40.0,23.8,0.0,BOTH_SOURCE_SIGNAL
BOD025,POOL,30.0,33.3,4.8,0.0,GOOGLE_ONLY_SIGNAL
BOD025,SERVICE,40.0,25.0,9.5,0.0,GOOGLE_ONLY_SIGNAL
BOD025,PRICE_VALUE,50.0,60.0,4.8,0.0,GOOGLE_ONLY_SIGNAL
BOD025,LOCATION,0.0,,9.5,0.0,LOW_SUPPORT
BOD025,FACILITIES,40.0,100.0,4.8,0.0,GOOGLE_ONLY_SIGNAL
BOD025,NOISE,30.0,66.7,0.0,,GOOGLE_ONLY_SIGNAL
BOD025,FAMILY_KIDS,10.0,100.0,0.0,,LOW_SUPPORT
BOD025,CHECKIN_CHECKOUT,0.0,,9.5,0.0,LOW_SUPPORT
BOD025,RESERVATION,30.0,100.0,4.8,0.0,GOOGLE_ONLY_SIGNAL
BOD025,REFUND_PAYMENT,10.0,100.0,0.0,,LOW_SUPPORT
BOD025,BAR_DRINKS,60.0,66.7,14.3,0.0,BOTH_SOURCE_SIGNAL
BOD031,STAFF,60.0,16.7,8.5,0.0,BOTH_SOURCE_SIGNAL
BOD031,CLEANLINESS,60.0,50.0,10.6,40.0,BOTH_SOURCE_SIGNAL
BOD031,HYGIENE,20.0,50.0,0.0,,LOW_SUPPORT
BOD031,FOOD,70.0,42.9,4.3,0.0,GOOGLE_ONLY_SIGNAL
BOD031,ROOM,70.0,57.1,8.5,25.0,BOTH_SOURCE_SIGNAL
BOD031,BED_COMFORT,20.0,100.0,2.1,100.0,LOW_SUPPORT
BOD031,BEACH_SEA,50.0,20.0,2.1,0.0,GOOGLE_ONLY_SIGNAL
BOD031,POOL,20.0,0.0,2.1,0.0,LOW_SUPPORT
BOD031,SERVICE,20.0,0.0,0.0,,LOW_SUPPORT
BOD031,PRICE_VALUE,30.0,66.7,12.8,66.7,BOTH_SOURCE_SIGNAL
BOD031,LOCATION,20.0,50.0,2.1,0.0,LOW_SUPPORT
BOD031,FACILITIES,10.0,100.0,10.6,20.0,TRIP_ONLY_SIGNAL
BOD031,NOISE,10.0,100.0,12.8,16.7,TRIP_ONLY_SIGNAL
BOD031,FAMILY_KIDS,20.0,50.0,2.1,100.0,LOW_SUPPORT
BOD031,ANIMATION_ENTERTAINMENT,10.0,100.0,10.6,40.0,TRIP_ONLY_SIGNAL
BOD031,CHECKIN_CHECKOUT,0.0,,2.1,0.0,LOW_SUPPORT
BOD031,RESERVATION,0.0,,14.9,71.4,TRIP_ONLY_SIGNAL
BOD031,TRANSPORT_TRANSFER,0.0,,4.3,100.0,LOW_SUPPORT
BOD031,MANAGEMENT,20.0,50.0,2.1,0.0,LOW_SUPPORT
BOD031,BAR_DRINKS,20.0,0.0,21.3,40.0,TRIP_ONLY_SIGNAL
BOD031,WIFI,0.0,,10.6,20.0,TRIP_ONLY_SIGNAL
BOD033,STAFF,35.9,7.1,4.7,0.0,BOTH_SOURCE_SIGNAL
BOD033,CLEANLINESS,43.6,0.0,9.4,0.0,BOTH_SOURCE_SIGNAL
BOD033,HYGIENE,7.7,33.3,1.6,0.0,GOOGLE_ONLY_SIGNAL
BOD033,FOOD,38.5,6.7,6.2,25.0,BOTH_SOURCE_SIGNAL
BOD033,ROOM,46.2,11.1,9.4,16.7,BOTH_SOURCE_SIGNAL
BOD033,BED_COMFORT,7.7,0.0,1.6,0.0,GOOGLE_ONLY_SIGNAL
BOD033,BEACH_SEA,7.7,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD033,POOL,33.3,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD033,SERVICE,30.8,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD033,PRICE_VALUE,5.1,0.0,0.0,,LOW_SUPPORT
BOD033,LOCATION,43.6,11.8,3.1,0.0,GOOGLE_ONLY_SIGNAL
BOD033,FACILITIES,28.2,0.0,10.9,0.0,BOTH_SOURCE_SIGNAL
BOD033,NOISE,12.8,0.0,1.6,0.0,GOOGLE_ONLY_SIGNAL
BOD033,FAMILY_KIDS,10.3,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD033,ANIMATION_ENTERTAINMENT,0.0,,6.2,50.0,TRIP_ONLY_SIGNAL
BOD033,AIR_CONDITIONING,5.1,100.0,0.0,,LOW_SUPPORT
BOD033,CHECKIN_CHECKOUT,12.8,0.0,4.7,33.3,BOTH_SOURCE_SIGNAL
BOD033,RESERVATION,7.7,33.3,7.8,60.0,BOTH_SOURCE_SIGNAL
BOD033,REFUND_PAYMENT,2.6,0.0,0.0,,LOW_SUPPORT
BOD033,MANAGEMENT,7.7,0.0,0.0,,GOOGLE_ONLY_SIGNAL
BOD033,BAR_DRINKS,17.9,0.0,7.8,0.0,BOTH_SOURCE_SIGNAL
BOD033,WIFI,0.0,,1.6,0.0,LOW_SUPPORT
BOD036,STAFF,80.0,0.0,3.2,0.0,GOOGLE_ONLY_SIGNAL
