hotel_id,hotel_name,area,amenity_count,family_feature_count,wellness_feature_count,water_feature_count,policy_coverage,google_review_n,google_rating,trip_review_n,trip_rating,source_count,support
BOD115,Yasmin Bodrum Resort,Kadıkalesi,13.0,3.0,3.0,2.0,PARTIAL,,,47.0,4.297872340425532,1,SINGLE_SOURCE
BOD118,Amfora Hotel,Ortakent-Yahşi,9.0,2.0,0.0,2.0,PARTIAL,,,10.0,3.7,1,SINGLE_SOURCE
BOD119,,,,,,,,10.0,5.0,,,1,SINGLE_SOURCE
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,7.0,2.0,2.0,0.0,PARTIAL,10.0,3.8,39.0,4.051282051282051,2,MULTI_SOURCE
BOD121,Eskiyalı Otel,Ortakent-Yahşi,4.0,2.0,0.0,1.0,PARTIAL,,,,,0,NO_DATA
BOD122,Florida Otel,Ortakent-Yahşi,2.0,1.0,0.0,0.0,PARTIAL,10.0,4.4,11.0,3.9318181818181817,2,MULTI_SOURCE
BOD123,,,,,,,,32.0,4.0,,,1,SINGLE_SOURCE
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,3.0,1.0,0.0,1.0,PARTIAL,,,6.0,4.333333333333333,1,SINGLE_SOURCE
BOD125,,,,,,,,30.0,4.066666666666666,,,1,SINGLE_SOURCE
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,7.0,2.0,0.0,1.0,PARTIAL,10.0,4.6,27.0,4.481481481481482,2,MULTI_SOURCE
BOD127,,,,,,,,29.0,4.068965517241379,,,1,SINGLE_SOURCE
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,10.0,2.0,2.0,1.0,PARTIAL,87.0,4.781609195402299,25.0,4.6,2,MULTI_SOURCE
BOD129,,,,,,,,20.0,3.5,,,1,SINGLE_SOURCE
BOD130,Petunya Beach Resort,Ortakent-Yahşi,12.0,4.0,1.0,1.0,PARTIAL,10.0,3.3,44.0,4.107954545454546,2,MULTI_SOURCE
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,8.0,1.0,3.0,1.0,PARTIAL,20.0,4.6,44.0,4.409090909090909,2,MULTI_SOURCE
BOD132,,,,,,,,22.0,4.7727272727272725,,,1,SINGLE_SOURCE
BOD133,,,,,,,,10.0,4.0,,,1,SINGLE_SOURCE
BOD134,Yakamoz Otel,Ortakent-Yahşi,3.0,1.0,0.0,0.0,PARTIAL,10.0,2.8,18.0,4.222222222222222,2,MULTI_SOURCE
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,8.0,1.0,2.0,1.0,PARTIAL,10.0,4.9,24.0,4.833333333333333,2,MULTI_SOURCE
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,14.0,3.0,3.0,3.0,PARTIAL,10.0,3.3,45.0,4.583333333333333,2,MULTI_SOURCE
BOD141,DUJA BODRUM,Torba,13.0,4.0,2.0,2.0,PARTIAL,,,52.0,4.365384615384615,1,SINGLE_SOURCE
BOD143,,,,,,,,10.0,5.0,,,1,SINGLE_SOURCE
BOD144,Mira Suites,Torba,4.0,1.0,0.0,0.0,PARTIAL,,,2.0,5.0,1,SINGLE_SOURCE
BOD145,,,,,,,,29.0,3.827586206896552,,,1,SINGLE_SOURCE
BOD146,,,,,,,,44.0,4.5,,,1,SINGLE_SOURCE
BOD147,Omar Hotel & Suites,Torba,6.0,1.0,0.0,1.0,PARTIAL,10.0,4.5,14.0,4.785714285714286,2,MULTI_SOURCE
BOD148,,,,,,,,20.0,4.55,,,1,SINGLE_SOURCE
BOD150,,,,,,,,20.0,3.7,,,1,SINGLE_SOURCE
BOD151,Sarpedor Boutique Hotel & SPA,Torba,12.0,1.0,3.0,3.0,PARTIAL,,,50.0,3.445,1,SINGLE_SOURCE
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,13.0,2.0,3.0,3.0,PARTIAL,20.0,4.6,73.0,4.876712328767123,2,MULTI_SOURCE
BOD153,,,,,,,,10.0,4.6,,,1,SINGLE_SOURCE
BOD155,,,,,,,,10.0,4.1,,,1,SINGLE_SOURCE
BOD156,,,,,,,,10.0,4.9,,,1,SINGLE_SOURCE
BOD158,Arin Resort Bodrum,Turgutreis,11.0,3.0,3.0,1.0,PARTIAL,,,25.0,4.96,1,SINGLE_SOURCE
BOD161,,,,,,,,10.0,1.5,,,1,SINGLE_SOURCE
BOD162,Rammos Managed by Dedeman,Turgutreis,9.0,1.0,3.0,1.0,PARTIAL,20.0,4.85,65.0,4.3538461538461535,2,MULTI_SOURCE
BOD165,Caja by Maxx Royal,Türkbükü,8.0,1.0,3.0,1.0,PARTIAL,,,4.0,4.75,1,SINGLE_SOURCE
BOD166,,,,,,,,10.0,3.7,,,1,SINGLE_SOURCE
BOD167,Elista Hotel & Spa,Türkbükü,10.0,1.0,2.0,1.0,PARTIAL,11.0,3.909090909090909,62.0,4.451612903225806,2,MULTI_SOURCE
BOD168,,,,,,,,20.0,4.1,,,1,SINGLE_SOURCE
BOD169,,,,,,,,10.0,3.5,,,1,SINGLE_SOURCE
BOD170,No:81 Hotel,Türkbükü,13.0,2.0,2.0,3.0,PARTIAL,,,35.0,4.45,1,SINGLE_SOURCE
BOD171,,,,,,,,33.0,4.9393939393939394,,,1,SINGLE_SOURCE
BOD172,Ailla Yalıkavak,Yalıkavak,8.0,1.0,2.0,2.0,PARTIAL,,,34.0,4.941176470588236,1,SINGLE_SOURCE
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,6.0,1.0,2.0,1.0,PARTIAL,,,65.0,4.865384615384615,1,SINGLE_SOURCE
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,9.0,2.0,3.0,1.0,PARTIAL,,,35.0,4.428571428571429,1,SINGLE_SOURCE
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,6.0,1.0,0.0,1.0,PARTIAL,,,34.0,4.176470588235294,1,SINGLE_SOURCE
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,1.0,1.0,0.0,0.0,PARTIAL,,,7.0,2.6785714285714284,1,SINGLE_SOURCE
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,13.0,3.0,3.0,1.0,PARTIAL,10.0,4.95,56.0,4.696428571428571,2,MULTI_SOURCE
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,10.0,1.0,3.0,0.0,PARTIAL,,,12.0,3.9166666666666665,1,SINGLE_SOURCE
BOD183,Ruins Luxury Resort,Yalıkavak,12.0,1.0,3.0,3.0,PARTIAL,,,,,0,NO_DATA
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,6.0,1.0,0.0,1.0,PARTIAL,,,14.0,5.0,1,SINGLE_SOURCE
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,12.0,4.0,3.0,1.0,PARTIAL,,,55.0,4.6863636363636365,1,SINGLE_SOURCE
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,8.0,1.0,1.0,2.0,PARTIAL,,,54.0,4.578703703703703,1,SINGLE_SOURCE
BOD189,The Bodrum EDITION,Yalıkavak,13.0,1.0,3.0,2.0,PARTIAL,33.0,3.8484848484848486,62.0,4.387096774193548,2,MULTI_SOURCE
BOD190,The Sign Highlight Hotel,Yalıkavak,4.0,2.0,3.0,0.0,PARTIAL,20.0,4.35,18.0,2.4444444444444446,2,MULTI_SOURCE
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,7.0,1.0,0.0,1.0,PARTIAL,,,60.0,4.933333333333334,1,SINGLE_SOURCE
BOD192,Yalıpark Beach Hotel,Yalıkavak,7.0,1.0,0.0,0.0,PARTIAL,,,78.0,4.717948717948718,1,SINGLE_SOURCE
