hotel_id,hotel_name,area,has_google_travel_verified,has_trip_verified,has_tripadvisor_verified,platform_coverage_count
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,False,False,False,0
BOD115,Yasmin Bodrum Resort,Kadıkalesi,False,False,False,0
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,Ortakent-Yahşi,False,False,False,0
BOD117,Altınkaya Hotel,Ortakent-Yahşi,False,False,False,0
BOD118,Amfora Hotel,Ortakent-Yahşi,False,False,False,0
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,False,False,False,0
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,False,False,False,0
BOD121,Eskiyalı Otel,Ortakent-Yahşi,False,False,False,0
BOD122,Florida Otel,Ortakent-Yahşi,False,False,False,0
BOD123,Hotel Marma Beach,Ortakent-Yahşi,False,False,False,0
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,False,False,False,0
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,False,False,False,0
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,False,False,False,0
BOD127,Kriss Hotel,Ortakent-Yahşi,False,False,False,0
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,False,False,False,0
BOD129,Meggs Bodrum,Ortakent-Yahşi,False,False,False,0
BOD130,Petunya Beach Resort,Ortakent-Yahşi,False,False,False,0
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,False,False,False,0
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,False,False,False,0
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,False,False,False,0
BOD134,Yakamoz Otel,Ortakent-Yahşi,False,False,False,0
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,False,False,False,0
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,False,False,False,0
BOD137,Armagan Apart Hotel,Torba,False,False,False,0
BOD138,Bodrum Blue Bay Otel,Torba,False,False,False,0
BOD139,Casa Dell'arte Otel,Torba,False,False,False,0
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,False,False,False,0
BOD141,DUJA BODRUM,Torba,False,False,False,0
BOD142,Hotel Torbahan,Torba,False,False,False,0
BOD143,Hotel Zeytinada,Torba,False,False,False,0
BOD144,Mira Suites,Torba,False,False,False,0
BOD145,Moyo Luxury Hotel & Beach,Torba,False,False,False,0
BOD146,Olivia Hotel,Torba,False,False,False,0
BOD147,Omar Hotel & Suites,Torba,False,False,False,0
BOD148,Rixos Premium Bodrum,Torba,False,False,False,0
BOD149,Roota Bodrum,Torba,False,False,False,0
BOD150,Samara Hotel,Torba,False,False,False,0
BOD151,Sarpedor Boutique Hotel & SPA,Torba,False,False,False,0
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,False,False,False,0
BOD153,The Oba Hotel,Torba,False,False,False,0
BOD154,Toka Bodrum Hotel & Beach Club,Torba,False,False,False,0
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,False,False,False,0
BOD156,Voyage Torba,Torba,False,False,False,0
BOD157,Voyage Torba Private,Torba,False,False,False,0
BOD158,Arin Resort Bodrum,Turgutreis,False,False,False,0
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,False,False,False,0
BOD160,La Blanche Resort Bodrum,Turgutreis,False,False,False,0
BOD161,MyElla Hotel Resort & Spa,Turgutreis,False,False,False,0
BOD162,Rammos Managed by Dedeman,Turgutreis,False,False,True,1
BOD163,Sundance Resort,Turgutreis,False,False,False,0
BOD164,Swissôtel Resort Bodrum Sahili,Turgutreis,False,False,False,0
BOD165,Caja by Maxx Royal,Türkbükü,False,False,False,0
BOD166,Divan Bodrum,Türkbükü,False,False,False,0
BOD167,Elista Hotel & Spa,Türkbükü,False,False,False,0
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,False,False,False,0
BOD169,MACAKIZI BODRUM,Türkbükü,False,False,False,0
BOD170,No:81 Hotel,Türkbükü,False,False,False,0
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,False,False,False,0
BOD172,Ailla Yalıkavak,Yalıkavak,False,False,False,0
BOD173,Allium Bodrum Resort & Spa,Yalıkavak,False,False,False,0
BOD174,Arts Hotel Bodrum Yalıkavak,Yalıkavak,False,False,False,0
BOD175,Avantgarde Refined Hotel | Yalıkavak,Yalıkavak,False,False,False,0
BOD176,Blue Point Yalikavak,Yalıkavak,False,False,False,0
BOD177,Delta Hotels By Marriott Bodrum,Yalıkavak,False,False,False,0
BOD178,Highlight Hotel Yalıkavak,Yalıkavak,False,False,False,0
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,False,False,False,0
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,False,False,False,0
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,False,False,False,0
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,False,False,False,0
BOD183,Ruins Luxury Resort,Yalıkavak,False,False,False,0
BOD184,Sea Palm Otel -YALIKAVAK,Yalıkavak,False,False,False,0
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,False,False,False,0
BOD186,Sirene Luxury Hotel Bodrum,Yalıkavak,False,False,False,0
BOD187,Spektr Boutique Hotel Yalikavak,Yalıkavak,False,False,False,0
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,False,False,False,0
BOD189,The Bodrum EDITION,Yalıkavak,False,False,False,0
BOD190,The Sign Highlight Hotel,Yalıkavak,False,False,False,0
BOD191,Yalıkavak Marina Hotel by METT Collection,Yalıkavak,False,False,False,0
BOD192,Yalıpark Beach Hotel,Yalıkavak,False,False,False,0
