hotel_id,hotel_name,area,platform,source_url,detected_name,status,rows_added,started_at,finished_at,last_error
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,google_travel,https://www.google.com/travel/hotels/entity/CgoInJap_Zjz_rc_EAE,METT Hotel & Beach Resort Bodrum,COMPLETED,10,2026-08-26T09:30:46Z,2026-08-26T09:30:46Z,
BOD045,Salmakis Resort & Spa,Bodrum Merkez,google_travel,https://www.google.com/travel/hotels/entity/ChgIhcWasvPa_bf0ARoLL2cvMXRjeTBfX2sQAQ,Salmakis Resort & Spa,COMPLETED,20,2026-08-26T09:31:26Z,2026-08-26T09:31:26Z,
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChkIw7-b487k1v8NGg0vZy8xMWY0bGh5NXY3EAE,Faros Bodrum Hotel Göltürkbükü,COMPLETED,20,2026-08-26T09:31:56Z,2026-08-26T09:31:56Z,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,google_travel,https://www.google.com/travel/hotels/entity/CgsIzujNwKKw17XYARAB,Lavinya Otel Göltürkbükü,COMPLETED,10,2026-08-26T09:32:29Z,2026-08-26T09:32:29Z,
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,google_travel,https://www.google.com/travel/hotels/entity/ChgI0ZWL5OHIovcnGgwvZy8xcTY3cF82NzgQAQ,"Mandarin Oriental, Bodrum",COMPLETED,20,2026-08-26T09:33:04Z,2026-08-26T09:33:04Z,
BOD058,Bodrum Beach Resort,Gümbet,google_travel,https://www.google.com/travel/hotels/entity/ChgI6eX_zO-jka-3ARoLL2cvMXRqNXN5OGwQAQ,Bodrum Beach Resort.,VALID_ENTITY_NO_REVIEWS,0,2026-08-26T09:33:58Z,2026-08-26T09:33:58Z,
BOD059,Bodrum Hotel Baba,Gümbet,google_travel,https://www.google.com/travel/hotels/entity/CgoIp_uGjqeilrEjEAE,HOTEL BABA,WRONG_ENTITY,0,2026-08-26T09:34:44Z,2026-08-26T09:34:44Z,
BOD065,Mirada Exclusive Bodrum,Gümbet,google_travel,https://www.google.com/travel/hotels/entity/ChoIsqH9xsjG_r-rARoNL2cvMTFzbXQ1YjNqNxAB,Mirada Exclusive Bodrum,COMPLETED,20,2026-08-26T09:34:59Z,2026-08-26T09:34:59Z,
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,google_travel,https://www.google.com/travel/hotels/entity/ChkI_76qtKi0wuyrARoML2cvMTJtOTFzNDl6EAE,Royal Asarlik Beach Hotel & Spa,COMPLETED,10,2026-08-26T09:35:38Z,2026-08-26T09:35:38Z,
BOD070,The Luvi Hotel,Gümbet,google_travel,https://www.google.com/travel/hotels/entity/ChgI0OmIl_qunPTFARoLL2cvMXRzeXh2eWMQAQ,The Luvi Hotel,COMPLETED,20,2026-08-26T09:36:18Z,2026-08-26T09:36:18Z,
BOD113,Kadıkale Resort,Kadıkalesi,google_travel,https://www.google.com/travel/hotels/entity/ChcI267av9v2hps2GgsvZy8xdGZkdmtjMBAB,Kadıkale Resort,COMPLETED,12,2026-08-26T09:36:56Z,2026-08-26T09:36:56Z,
BOD002,Armonia Holiday Village & Spa,Akyarlar,policies_trip,https://www.trip.com/hotels/bodrum-hotel-detail-3448104/armonia-holiday-village-and-spa-all-inclusive/,Armonia Holiday Village & Spa,PARTIAL,1,2026-08-26T09:42:08Z,2026-08-26T09:42:08Z,missing fields: kahvalti
BOD004,Bendis Beach Hotel,Akyarlar,policies_trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-4416296/bendis-beach-hotel/,Bendis Beach Hotel,PARTIAL,1,2026-08-26T09:42:23Z,2026-08-26T09:42:23Z,missing fields: cıkıs_saati
BOD007,Kefaluka Resort,Akyarlar,policies_trip,https://www.trip.com/hotels/bodrum-hotel-detail-9894522/kefaluka-resort-ultra-all-inclusive/,,SKIPPED_RESUME,0,2026-08-26T09:43:10Z,2026-08-26T09:43:10Z,
BOD010,Mare Garden Hotel,Akyarlar,policies_trip,https://us.trip.com/hotels/bodrum-hotel-detail-60107472/mare-garden-hotel/,Mare Garden Hotel,PARTIAL,1,2026-08-26T09:43:10Z,2026-08-26T09:43:10Z,"missing fields: giris_saati, cıkıs_saati"
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,policies_trip,https://uk.trip.com/hotels/bodrum-hotel-detail-75487192/radisson-collection-hotel-bodrum/,"Radisson Collection Hotel, Bodrum",PARTIAL,1,2026-08-26T09:44:30Z,2026-08-26T09:44:30Z,"missing fields: cıkıs_saati, bebek_ve_ek_yatak"
BOD012,Selectum Collection Bodrum,Akyarlar,policies_trip,https://www.trip.com/hotels/bodrum-hotel-detail-7877878/selectum-collection-bodrum/,,SKIPPED_RESUME,0,2026-08-26T09:45:17Z,2026-08-26T09:45:17Z,
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,policies_trip,https://uk.trip.com/hotels/bodrum-hotel-detail-10720331/sentido-bellazure-all-inclusive/,,SKIPPED_RESUME,0,2026-08-26T09:45:17Z,2026-08-26T09:45:17Z,
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,policies_trip,https://us.trip.com/hotels/bodrum-hotel-detail-116725989/suum-bodrum-hotel-beach/,SUUM BODRUM HOTEL & BEACH,COMPLETE,1,2026-08-26T09:45:17Z,2026-08-26T09:45:17Z,
BOD016,Xanadu Island,Akyarlar,policies_trip,https://www.trip.com/hotels/akyarlar-mahallesi-hotel-detail-17508018/xanadu-island-hotel/,Xanadu Island,PARTIAL,1,2026-08-26T09:45:34Z,2026-08-26T09:45:34Z,"missing fields: cıkıs_saati, kahvalti, hizmet_hayvanları"
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,policies_trip,https://ae.trip.com/hotels/golturkbuku-hotel-detail-17200888/faros-bodrum-ex-villa-kilic-hotel/,Faros Hotel Bodrum - Special Category,WRONG_ENTITY,0,2026-08-26T09:46:21Z,2026-08-26T09:46:21Z,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,policies_trip,https://www.trip.com/hotels/golturkbuku-hotel-detail-4067437/lavinya-otel/,Lavinya Otel,WRONG_ENTITY,0,2026-08-26T09:46:32Z,2026-08-26T09:46:32Z,
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,policies_trip,https://www.trip.com/hotels/bodrum-hotel-detail-1661001/mandarin-oriental-bodrum/,,SKIPPED_RESUME,0,2026-08-26T09:46:41Z,2026-08-26T09:46:41Z,
BOD058,Bodrum Beach Resort,Gümbet,policies_trip,https://us.trip.com/hotels/gumbet-hotel-detail-4057730/bodrum-beach-resort/,,SKIPPED_RESUME,0,2026-08-26T09:46:41Z,2026-08-26T09:46:41Z,
BOD059,Bodrum Hotel Baba,Gümbet,policies_trip,https://ae.trip.com/hotels/gumbet-hotel-detail-7138850/hotel-baba-all-inclusive/,Hotel Baba,WRONG_ENTITY,0,2026-08-26T09:46:41Z,2026-08-26T09:46:41Z,
BOD071,Tropicana Beach Hotel,Gümbet,policies_trip,https://my.trip.com/hotels/gumbet-hotel-detail-3139968/tropicana-beach/,,PAGE_ERROR,0,2026-08-26T09:46:51Z,2026-08-26T09:46:51Z,Message:
BOD072,VERY CHIC BODRUM,Gümbet,policies_trip,https://uk.trip.com/hotels/bodrum-hotel-detail-3448155/very-chic-bodrum-adult-only/,Very Chic Bodrum Adult Only,WRONG_ENTITY,0,2026-08-26T09:47:27Z,2026-08-26T09:47:27Z,
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,policies_trip,https://www.trip.com/hotels/gumusluk-hotel-detail-96123030/arriba-apart-bungalow-restaurant/,Arriba Apart Bungalow Restaurant,WRONG_ENTITY,0,2026-08-26T09:47:36Z,2026-08-26T09:47:36Z,
BOD074,Begonvil Gümüşlük,Gümüşlük,policies_trip,https://www.trip.com/hotels/gumusluk-hotel-detail-127410335/begonvil-gmlk/,BEGONVİL GÜMÜŞLÜK,PARTIAL,1,2026-08-26T09:47:46Z,2026-08-26T09:47:46Z,"missing fields: giris_saati, cıkıs_saati, kahvalti, evcil_hayvan, hizmet_hayvanları, yas_sarti"
BOD076,Gümüşlük No3,Gümüşlük,policies_trip,https://www.trip.com/hotels/gumusluk-hotel-detail-109836085/gumusluk-no3/,Gumusluk No3,PARTIAL,1,2026-08-26T09:49:04Z,2026-08-26T09:49:04Z,"missing fields: giris_saati, cıkıs_saati, kahvalti, evcil_hayvan, hizmet_hayvanları"
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,policies_trip,https://www.trip.com/hotels/bodrum-hotel-detail-79101381/liman-hotel-gmslk-adult-only/,Liman Hotel Gümüslük - Adult Only,PARTIAL,1,2026-08-26T09:50:23Z,2026-08-26T09:50:23Z,missing fields: cıkıs_saati
BOD001,Aksoy Taş Ev,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkIxM3gn6-Mx41DGg0vZy8xMXJuYl92MnZnEAE?q=Aksoy%20Ta%C5%9F%20Ev%20Akyarlar%20Bodrum&ved=2ahUKEwitl7jilb6WAxVUBgYAHS1tBGUQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggAKgIKAA,Aksoy Taş Ev,COMPLETED,20,2026-08-26T12:56:05Z,2026-08-26T12:56:05Z,
BOD002,Armonia Holiday Village & Spa,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChcIib6os8m5kedkGgsvZy8xdGdkd24xZBAB?q=Armonia%20Holiday%20Village%20%26%20Spa%20Akyarlar%20Bodrum&ved=2ahUKEwjt_JDplb6WAxV9QEECHTAXHqwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Armonia Holiday Village & Spa,COMPLETED,10,2026-08-26T12:56:27Z,2026-08-26T12:56:27Z,
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkI_fH789a1ipI4Gg0vZy8xMXR4bDRma2tiEAE?q=ASPAT%20HOTEL%20BODRUM%20Beach%20Restaurant%20Akyarlar%20Bodrum&ved=2ahUKEwiuiazwlb6WAxXsakECHVPSOXkQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,ASPAT HOTEL BODRUM Beach Restaurant,COMPLETED,20,2026-08-26T12:57:08Z,2026-08-26T12:57:08Z,
BOD004,Bendis Beach Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChcI-p_dtL_R4bl3GgsvZy8xdGZyN2htMhAB?q=Bendis%20Beach%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwjT-_z2lb6WAxXtZkECHZ0_DHgQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Bendis Beach Hotel,COMPLETED,10,2026-08-26T12:57:30Z,2026-08-26T12:57:30Z,
BOD005,ByAkkan,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoI1N7IttjHkMeqARoNL2cvMTF0MzM5a3h4aBAB?q=ByAkkan%20Akyarlar%20Bodrum&ved=2ahUKEwjIr8_9lb6WAxVyIwYAHWzxDSAQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,ByAkkan,COMPLETED,10,2026-08-26T12:58:11Z,2026-08-26T12:58:11Z,
BOD006,Club Marma Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkIj8qbsqi-7bAUGg0vZy8xMXEyeWtoNF8yEAE?q=Club%20Marma%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwj_yYuElr6WAxVRe0ECHVDNCIwQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Club Marma Hotel,COMPLETED,10,2026-08-26T12:58:44Z,2026-08-26T12:58:44Z,
BOD007,Kefaluka Resort,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/CgsIqP3Kl9GCnvv4ARAB,Kefaluka Resort,COMPLETED,20,2026-08-26T12:59:23Z,2026-08-26T12:59:23Z,
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoIuoenmK7E3fPtARoNL2cvMTFwNWxtMV9jcBAB,LA BREZZA SUITE &HOTEL,VALID_ENTITY_NO_REVIEWS,0,2026-08-26T13:00:48Z,2026-08-26T13:00:48Z,
BOD010,Mare Garden Hotel,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoI46nXrt78--3mARoNL2cvMTFqOTJjZHdqZxAB?q=Mare%20Garden%20Hotel%20Akyarlar%20Bodrum&ved=2ahUKEwic3diRlr6WAxVjg3wGHQE6LnYQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Mare Garden Hotel,COMPLETED,10,2026-08-26T13:01:35Z,2026-08-26T13:01:35Z,
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChoI2P6A2dPx45zGARoNL2cvMTFwYzRzdmNoORAB?q=Radisson%20Collection%20Hotel%2C%20Bodrum%20Akyarlar%20Bodrum&ved=2ahUKEwjszO-Xlr6WAxXABQYAHdCYLG8QvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,"Radisson Collection Hotel, Bodrum",COMPLETED,10,2026-08-26T13:02:18Z,2026-08-26T13:02:18Z,
BOD012,Selectum Collection Bodrum,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChgI-abrn5G19OiAARoLL2cvMXRzcjVkZG4QAQ,Selectum Collection Bodrum,VALID_ENTITY_NO_REVIEWS,0,2026-08-26T13:02:54Z,2026-08-26T13:02:54Z,
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkI89S85_60gP2gARoML2cvMXE2anpicjRqEAE,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",COMPLETED,20,2026-08-26T13:03:33Z,2026-08-26T13:03:33Z,
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChkI-e2c7Lvi3so-Gg0vZy8xMXZscmIxNWZwEAE?q=Suum%20Bodrum%20Hotel%20%26%20Beach%20Akyarlar%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwjDy8-elr6WAxWJOQYAHSpSBBkQvukIegQIAxAC,Suum Bodrum Hotel & Beach,COMPLETED,10,2026-08-26T13:04:37Z,2026-08-26T13:04:37Z,
BOD016,Xanadu Island,Akyarlar,google_travel,https://www.google.com/travel/hotels/entity/ChcIgv_kqOT446h4GgsvZy8xdGZsdjYzORAB?q=Xanadu%20Island%20Akyarlar%20Bodrum&ved=2ahUKEwjM05Gulr6WAxWJOQYAHSpSBBkQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Xanadu Island,COMPLETED,10,2026-08-26T13:05:18Z,2026-08-26T13:05:18Z,
BOD020,Bitez Risa Hotel,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChgIqLSo4o_E9rtUGgwvZy8xMXkwbmxzajUQAQ?q=Bitez%20Risa%20Hotel%20Bitez%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwiFk4DQlr6WAxVRe0ECHVDNCIwQvukIegQIAxAC,Bitez Risa Hotel,COMPLETED,20,2026-08-26T13:05:59Z,2026-08-26T13:05:59Z,
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,google_travel,https://www.google.com/travel/hotels/entity?q=Caresse%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Bodrum%20Bitez%20Bodrum&ved=2ahUKEwini8XWlr6WAxUWfUECHUCNEIAQvukIegUIAxDSAw&ts=CAEaNwoZEhcKDS9nLzExYnZfZGtzcHE6BkJvZHJ1bRIaEhQKBwjqDxAJGAcSBwjqDxAJGAgYATICCAIqBwoFOgNUUlk&rp=OAFIAg,"Caresse, A Luxury Collection Resort & Spa, Bodrum · 125 sonuç",VALID_ENTITY_NO_REVIEWS,0,2026-08-26T13:06:26Z,2026-08-26T13:06:26Z,
BOD024,HAKAN OTEL,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChcI4LLmvM7ss58xGgsvZy8xdGQ0NHA1NxAB?q=HAKAN%20OTEL%20Bitez%20Bodrum&ved=2ahUKEwjH76Pvlr6WAxXEUEECHRaaAcIQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,HAKAN OTEL,COMPLETED,11,2026-08-26T13:07:08Z,2026-08-26T13:07:08Z,
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChkI6pWuqJPY-ZwEGg0vZy8xMXlnXzFkejZ5EAE?q=Halikarya%20Hotel%20%26%20Restaurant%20Beach%20Bitez%20Bodrum&ved=2ahUKEwiRzOv1lr6WAxXLdkECHR00OEEQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Halikarya Hotel & Restaurant Beach,COMPLETED,10,2026-08-26T13:07:43Z,2026-08-26T13:07:43Z,
BOD026,Manuela Otel Bitez,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChcI-qjp_pHNlqM9GgsvZy8xdGR2OF8zcRAB?q=Manuela%20Otel%20Bitez%20Bitez%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA&ved=2ahUKEwiqx4L_lr6WAxU2fUECHaUZLGAQvukIegQIAxAC&ap=KigKEgl4sK3fJoNCQBFTmHQQXmE7QBISCWCjDhXSg0JAEVOYdISOYjtA,Manuela Otel Bitez,COMPLETED,10,2026-08-26T13:08:31Z,2026-08-26T13:08:31Z,
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChgI_YuOi7bAtqT2ARoLL2cvMXRkdDNmeWgQAQ?q=Natur%20Garden%20Hotel%20Bitez%20Bodrum%20Bitez%20Bodrum&ved=2ahUKEwicu8-hl76WAxUZlnwGHTIDEYQQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgIKAA,Natur Garden Hotel Bitez Bodrum,COMPLETED,10,2026-08-26T13:09:07Z,2026-08-26T13:09:07Z,
BOD031,Okaliptus Otel,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChcImKD7qd_k4OsZGgsvZy8xdHA2OHFfNhAB?q=Okaliptus%20Otel%20Bitez%20Bodrum&ved=2ahUKEwikzJWol76WAxWoAwYAHfHqA1MQvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Okaliptus Otel,COMPLETED,10,2026-08-26T13:09:50Z,2026-08-26T13:09:50Z,
BOD032,Paloma Family Club Bitez,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChgIpr3nq9uz05WXARoLL2cvMXRuZGdtajEQAQ?q=Paloma%20Family%20Club%20Bitez%20Bitez%20Bodrum&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ&ved=2ahUKEwi03pKvl76WAxWqj3wGHX_GF08QvukIegQIAxAC,Paloma Family Club Bitez,COMPLETED,20,2026-08-26T13:10:30Z,2026-08-26T13:10:30Z,
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,google_travel,https://www.google.com/travel/hotels/entity/ChcI_6azjs-vhudnGgsvZy8xdnBnajBfeRAB?q=Ramada%20Resort%20by%20Wyndham%20Bodrum%20Bitez%20Bodrum&ved=2ahUKEwjp_9K1l76WAxXmZkECHYt_Ff8QvukIegQIAxAC&ts=CAAaGhIYEhIKBwjqDxAJGAcSBwjqDxAJGAgyAggCKgcKBToDVFJZ,Ramada Resort by Wyndham Bodrum,COMPLETED,20,2026-08-26T13:11:00Z,2026-08-26T13:11:00Z,
