area,aspect,mention_rate_pct,support_n,hotel_count
Bodrum Merkez,TRANSPORT_TRANSFER,3.6,84,3
Bodrum Merkez,MANAGEMENT,4.8,84,3
Bodrum Merkez,COMMUNICATION,9.5,84,3
Bodrum Merkez,BAR_DRINKS,38.1,84,3
Göltürkbükü,STAFF,50.4,254,8
Göltürkbükü,CLEANLINESS,33.5,254,8
Göltürkbükü,HYGIENE,3.9,254,8
Göltürkbükü,FOOD,48.0,254,8
Göltürkbükü,ROOM,51.6,254,8
Göltürkbükü,BED_COMFORT,17.7,254,8
Göltürkbükü,BEACH_SEA,50.4,254,8
Göltürkbükü,POOL,11.4,254,8
Göltürkbükü,SERVICE,27.6,254,8
Göltürkbükü,PRICE_VALUE,25.6,254,8
Göltürkbükü,LOCATION,31.1,254,8
Göltürkbükü,FACILITIES,18.5,254,8
Göltürkbükü,NOISE,19.3,254,8
Göltürkbükü,FAMILY_KIDS,17.7,254,8
Göltürkbükü,ANIMATION_ENTERTAINMENT,1.2,254,8
Göltürkbükü,AIR_CONDITIONING,0.8,254,8
Göltürkbükü,CHECKIN_CHECKOUT,9.8,254,8
Göltürkbükü,RESERVATION,5.9,254,8
Göltürkbükü,REFUND_PAYMENT,3.9,254,8
Göltürkbükü,TRANSPORT_TRANSFER,0.8,254,8
Göltürkbükü,MANAGEMENT,17.7,254,8
Göltürkbükü,COMMUNICATION,3.1,254,8
Göltürkbükü,BAR_DRINKS,25.2,254,8
Göltürkbükü,WIFI,0.8,254,8
Gümbet,STAFF,67.3,364,11
Gümbet,CLEANLINESS,58.5,364,11
Gümbet,HYGIENE,8.0,364,11
Gümbet,FOOD,67.3,364,11
Gümbet,ROOM,66.2,364,11
Gümbet,BED_COMFORT,21.2,364,11
Gümbet,BEACH_SEA,40.1,364,11
Gümbet,POOL,26.4,364,11
Gümbet,SERVICE,27.2,364,11
Gümbet,PRICE_VALUE,36.5,364,11
Gümbet,LOCATION,39.0,364,11
Gümbet,FACILITIES,18.7,364,11
Gümbet,NOISE,30.5,364,11
Gümbet,FAMILY_KIDS,30.2,364,11
Gümbet,ANIMATION_ENTERTAINMENT,23.6,364,11
Gümbet,AIR_CONDITIONING,4.1,364,11
Gümbet,CHECKIN_CHECKOUT,13.5,364,11
Gümbet,RESERVATION,11.8,364,11
Gümbet,REFUND_PAYMENT,3.6,364,11
Gümbet,TRANSPORT_TRANSFER,0.8,364,11
Gümbet,MANAGEMENT,14.8,364,11
Gümbet,COMMUNICATION,5.2,364,11
Gümbet,BAR_DRINKS,38.2,364,11
Gümbet,WIFI,1.4,364,11
Gümüşlük,STAFF,45.1,102,6
Gümüşlük,CLEANLINESS,55.9,102,6
Gümüşlük,HYGIENE,9.8,102,6
Gümüşlük,FOOD,34.3,102,6
Gümüşlük,ROOM,51.0,102,6
Gümüşlük,BED_COMFORT,13.7,102,6
Gümüşlük,BEACH_SEA,45.1,102,6
Gümüşlük,POOL,10.8,102,6
Gümüşlük,SERVICE,20.6,102,6
Gümüşlük,PRICE_VALUE,40.2,102,6
Gümüşlük,LOCATION,37.3,102,6
Gümüşlük,FACILITIES,25.5,102,6
Gümüşlük,NOISE,14.7,102,6
Gümüşlük,FAMILY_KIDS,18.6,102,6
Gümüşlük,ANIMATION_ENTERTAINMENT,2.9,102,6
Gümüşlük,AIR_CONDITIONING,5.9,102,6
Gümüşlük,CHECKIN_CHECKOUT,2.0,102,6
Gümüşlük,RESERVATION,7.8,102,6
Gümüşlük,REFUND_PAYMENT,6.9,102,6
Gümüşlük,MANAGEMENT,28.4,102,6
Gümüşlük,COMMUNICATION,12.7,102,6
Gümüşlük,BAR_DRINKS,16.7,102,6
Gümüşlük,WIFI,1.0,102,6
Gündoğan,STAFF,57.6,118,8
Gündoğan,CLEANLINESS,44.9,118,8
Gündoğan,HYGIENE,5.9,118,8
Gündoğan,FOOD,55.1,118,8
Gündoğan,ROOM,61.9,118,8
Gündoğan,BED_COMFORT,12.7,118,8
Gündoğan,BEACH_SEA,41.5,118,8
Gündoğan,POOL,12.7,118,8
Gündoğan,SERVICE,32.2,118,8
Gündoğan,PRICE_VALUE,17.8,118,8
Gündoğan,LOCATION,41.5,118,8
Gündoğan,FACILITIES,15.3,118,8
Gündoğan,NOISE,20.3,118,8
Gündoğan,FAMILY_KIDS,16.9,118,8
Gündoğan,ANIMATION_ENTERTAINMENT,3.4,118,8
Gündoğan,AIR_CONDITIONING,2.5,118,8
Gündoğan,CHECKIN_CHECKOUT,18.6,118,8
Gündoğan,RESERVATION,5.1,118,8
Gündoğan,REFUND_PAYMENT,5.9,118,8
Gündoğan,TRANSPORT_TRANSFER,1.7,118,8
Gündoğan,MANAGEMENT,12.7,118,8
Gündoğan,COMMUNICATION,3.4,118,8
Gündoğan,BAR_DRINKS,23.7,118,8
Gündoğan,WIFI,0.8,118,8
Güvercinlik,STAFF,61.1,180,8
Güvercinlik,CLEANLINESS,50.0,180,8
Güvercinlik,HYGIENE,7.2,180,8
Güvercinlik,FOOD,61.1,180,8
Güvercinlik,ROOM,64.4,180,8
Güvercinlik,BED_COMFORT,15.0,180,8
Güvercinlik,BEACH_SEA,45.0,180,8
Güvercinlik,POOL,14.4,180,8
Güvercinlik,SERVICE,34.4,180,8
Güvercinlik,PRICE_VALUE,30.0,180,8
Güvercinlik,LOCATION,42.8,180,8
Güvercinlik,FACILITIES,25.0,180,8
Güvercinlik,NOISE,27.8,180,8
Güvercinlik,FAMILY_KIDS,11.7,180,8
Güvercinlik,ANIMATION_ENTERTAINMENT,6.7,180,8
Güvercinlik,AIR_CONDITIONING,1.7,180,8
Güvercinlik,CHECKIN_CHECKOUT,13.9,180,8
Güvercinlik,RESERVATION,12.2,180,8
Güvercinlik,REFUND_PAYMENT,6.7,180,8
Güvercinlik,TRANSPORT_TRANSFER,0.6,180,8
Güvercinlik,MANAGEMENT,13.9,180,8
Güvercinlik,COMMUNICATION,4.4,180,8
Güvercinlik,BAR_DRINKS,31.1,180,8
Güvercinlik,WIFI,1.1,180,8
Kadıkalesi,STAFF,54.5,11,1
Kadıkalesi,CLEANLINESS,54.5,11,1
Kadıkalesi,FOOD,54.5,11,1
Kadıkalesi,ROOM,63.6,11,1
Kadıkalesi,BED_COMFORT,18.2,11,1
Kadıkalesi,BEACH_SEA,45.5,11,1
Kadıkalesi,POOL,18.2,11,1
Kadıkalesi,SERVICE,27.3,11,1
Kadıkalesi,PRICE_VALUE,36.4,11,1
Kadıkalesi,LOCATION,27.3,11,1
Kadıkalesi,FACILITIES,27.3,11,1
Kadıkalesi,NOISE,9.1,11,1
Kadıkalesi,FAMILY_KIDS,36.4,11,1
Kadıkalesi,ANIMATION_ENTERTAINMENT,36.4,11,1
Kadıkalesi,AIR_CONDITIONING,9.1,11,1
Kadıkalesi,CHECKIN_CHECKOUT,27.3,11,1
Kadıkalesi,RESERVATION,18.2,11,1
Kadıkalesi,REFUND_PAYMENT,9.1,11,1
Kadıkalesi,MANAGEMENT,27.3,11,1
Kadıkalesi,BAR_DRINKS,45.5,11,1
Kadıkalesi,WIFI,9.1,11,1
Ortakent-Yahşi,STAFF,58.5,311,15
Ortakent-Yahşi,CLEANLINESS,55.3,311,15
Ortakent-Yahşi,HYGIENE,7.1,311,15
Ortakent-Yahşi,FOOD,62.1,311,15
Ortakent-Yahşi,ROOM,54.0,311,15
Ortakent-Yahşi,BED_COMFORT,23.8,311,15
Ortakent-Yahşi,BEACH_SEA,58.5,311,15
Ortakent-Yahşi,POOL,12.2,311,15
Ortakent-Yahşi,SERVICE,26.7,311,15
Ortakent-Yahşi,PRICE_VALUE,27.3,311,15
Ortakent-Yahşi,LOCATION,32.8,311,15
Ortakent-Yahşi,FACILITIES,17.0,311,15
Ortakent-Yahşi,NOISE,21.2,311,15
Ortakent-Yahşi,FAMILY_KIDS,25.1,311,15
Ortakent-Yahşi,ANIMATION_ENTERTAINMENT,2.3,311,15
Ortakent-Yahşi,AIR_CONDITIONING,2.9,311,15
Ortakent-Yahşi,CHECKIN_CHECKOUT,10.9,311,15
Ortakent-Yahşi,RESERVATION,7.1,311,15
Ortakent-Yahşi,REFUND_PAYMENT,3.9,311,15
Ortakent-Yahşi,TRANSPORT_TRANSFER,0.3,311,15
Ortakent-Yahşi,MANAGEMENT,17.4,311,15
Ortakent-Yahşi,COMMUNICATION,2.3,311,15
Ortakent-Yahşi,BAR_DRINKS,28.9,311,15
Ortakent-Yahşi,WIFI,1.3,311,15
Torba,STAFF,65.2,187,11
Torba,CLEANLINESS,58.3,187,11
Torba,HYGIENE,11.2,187,11
Torba,FOOD,69.5,187,11
Torba,ROOM,62.6,187,11
Torba,BED_COMFORT,23.5,187,11
Torba,BEACH_SEA,50.8,187,11
Torba,POOL,29.4,187,11
Torba,SERVICE,39.6,187,11
Torba,PRICE_VALUE,33.7,187,11
Torba,LOCATION,41.2,187,11
Torba,FACILITIES,34.2,187,11
Torba,NOISE,33.2,187,11
Torba,FAMILY_KIDS,26.7,187,11
Torba,ANIMATION_ENTERTAINMENT,13.4,187,11
Torba,AIR_CONDITIONING,3.7,187,11
Torba,CHECKIN_CHECKOUT,17.1,187,11
Torba,RESERVATION,11.2,187,11
Torba,REFUND_PAYMENT,7.5,187,11
Torba,MANAGEMENT,20.9,187,11
Torba,COMMUNICATION,7.5,187,11
Torba,BAR_DRINKS,42.2,187,11
Torba,WIFI,1.6,187,11
Turgutreis,STAFF,63.3,30,2
Turgutreis,CLEANLINESS,70.0,30,2
Turgutreis,HYGIENE,30.0,30,2
Turgutreis,FOOD,76.7,30,2
Turgutreis,ROOM,60.0,30,2
Turgutreis,BED_COMFORT,33.3,30,2
Turgutreis,BEACH_SEA,43.3,30,2
Turgutreis,POOL,43.3,30,2
Turgutreis,SERVICE,40.0,30,2
Turgutreis,PRICE_VALUE,33.3,30,2
Turgutreis,LOCATION,36.7,30,2
Turgutreis,FACILITIES,36.7,30,2
Turgutreis,NOISE,33.3,30,2
Turgutreis,FAMILY_KIDS,23.3,30,2
Turgutreis,ANIMATION_ENTERTAINMENT,10.0,30,2
Turgutreis,CHECKIN_CHECKOUT,23.3,30,2
Turgutreis,RESERVATION,13.3,30,2
Turgutreis,REFUND_PAYMENT,13.3,30,2
Turgutreis,MANAGEMENT,20.0,30,2
Turgutreis,COMMUNICATION,10.0,30,2
Turgutreis,BAR_DRINKS,43.3,30,2
Türkbükü,STAFF,49.0,49,4
Türkbükü,CLEANLINESS,24.5,49,4
Türkbükü,HYGIENE,6.1,49,4
Türkbükü,FOOD,51.0,49,4
Türkbükü,ROOM,51.0,49,4
Türkbükü,BED_COMFORT,14.3,49,4
Türkbükü,BEACH_SEA,32.7,49,4
Türkbükü,POOL,8.2,49,4
Türkbükü,SERVICE,46.9,49,4
Türkbükü,PRICE_VALUE,26.5,49,4
Türkbükü,LOCATION,24.5,49,4
Türkbükü,FACILITIES,18.4,49,4
Türkbükü,NOISE,18.4,49,4
Türkbükü,FAMILY_KIDS,8.2,49,4
Türkbükü,AIR_CONDITIONING,2.0,49,4
Türkbükü,CHECKIN_CHECKOUT,8.2,49,4
Türkbükü,RESERVATION,10.2,49,4
Türkbükü,REFUND_PAYMENT,4.1,49,4
Türkbükü,MANAGEMENT,14.3,49,4
Türkbükü,COMMUNICATION,8.2,49,4
Türkbükü,BAR_DRINKS,20.4,49,4
Yalıkavak,STAFF,52.6,95,4
Yalıkavak,CLEANLINESS,30.5,95,4
Yalıkavak,HYGIENE,4.2,95,4
Yalıkavak,FOOD,41.1,95,4
Yalıkavak,ROOM,42.1,95,4
Yalıkavak,BED_COMFORT,20.0,95,4
Yalıkavak,BEACH_SEA,33.7,95,4
Yalıkavak,POOL,13.7,95,4
Yalıkavak,SERVICE,36.8,95,4
Yalıkavak,PRICE_VALUE,18.9,95,4
Yalıkavak,LOCATION,33.7,95,4
Yalıkavak,FACILITIES,18.9,95,4
Yalıkavak,NOISE,13.7,95,4
Yalıkavak,FAMILY_KIDS,10.5,95,4
Yalıkavak,ANIMATION_ENTERTAINMENT,2.1,95,4
Yalıkavak,CHECKIN_CHECKOUT,8.4,95,4
Yalıkavak,RESERVATION,7.4,95,4
Yalıkavak,REFUND_PAYMENT,2.1,95,4
Yalıkavak,TRANSPORT_TRANSFER,2.1,95,4
Yalıkavak,MANAGEMENT,15.8,95,4
Yalıkavak,COMMUNICATION,6.3,95,4
Yalıkavak,BAR_DRINKS,24.2,95,4
Yalıkavak,WIFI,1.1,95,4
