hotel_id,hotel_name,area,n,mean_rating,median_rating,std,q25,q75,low_share,mid_share,high_share,sample_support
BOD064,Jasmin Elite Residence & Spa,Gümbet,29,3.793103448275862,5.0,1.6771427732227804,2.0,5.0,0.276,0.034,0.69,MODERATE
BOD065,Mirada Exclusive Bodrum,Gümbet,21,4.428571428571429,5.0,1.0281745265969477,4.0,5.0,0.048,0.095,0.857,MODERATE
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,10,4.0200000000000005,4.6,1.3348324905312194,3.25,5.0,0.1,0.2,0.7,LOW_SUPPORT
BOD067,Sami Beach Hotel,Gümbet,59,3.8135593220338984,5.0,1.6025257679480422,2.5,5.0,0.254,0.051,0.695,STRONGER
BOD068,Selectum Colours Bodrum,Gümbet,10,3.9,4.5,1.4491376746189437,3.25,5.0,0.2,0.1,0.7,LOW_SUPPORT
BOD070,The Luvi Hotel,Gümbet,30,3.7333333333333334,5.0,1.7603552410558057,1.5,5.0,0.267,0.067,0.667,MODERATE
BOD071,Tropicana Beach Hotel,Gümbet,25,3.36,4.0,1.6552945357246844,2.0,5.0,0.32,0.16,0.52,MODERATE
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,26,4.153846153846154,5.0,1.4884168150705017,4.0,5.0,0.154,0.077,0.769,MODERATE
BOD074,Begonvil Gümüşlük,Gümüşlük,28,4.857142857142857,5.0,0.4483951394230329,5.0,5.0,0.0,0.036,0.964,MODERATE
BOD077,Ladonia Hotels Zemda,Gümüşlük,20,2.05,1.0,1.7614288458371994,1.0,2.75,0.75,0.0,0.25,MODERATE
BOD080,Myndos Oda & kahvalti,Gümüşlük,10,3.8,5.0,1.7511900715418263,2.5,5.0,0.3,0.0,0.7,LOW_SUPPORT
BOD086,Vega Aparts,Gümüşlük,10,4.5,5.0,1.0801234497346432,5.0,5.0,0.1,0.1,0.8,LOW_SUPPORT
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,10,3.2,4.0,1.9888578520235065,1.0,5.0,0.4,0.1,0.5,LOW_SUPPORT
BOD088,Baia Bodrum Hotel,Gündoğan,20,3.7,4.0,1.4179302929937965,2.75,5.0,0.25,0.1,0.65,MODERATE
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,20,4.6,5.0,1.0954451150103326,5.0,5.0,0.1,0.0,0.9,MODERATE
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,10,4.2,5.0,1.4757295747452437,4.25,5.0,0.2,0.0,0.8,LOW_SUPPORT
BOD095,Mivara Luxury Bodrum,Gündoğan,10,3.9,4.5,1.449137674618944,3.25,5.0,0.2,0.1,0.7,LOW_SUPPORT
BOD096,Olira Boutique Hotel&SPA,Gündoğan,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD098,Swissôtel Living Bodrum,Gündoğan,30,4.633333333333334,5.0,0.7183954022841379,4.25,5.0,0.033,0.033,0.933,MODERATE
BOD099,Villa Oliva Butik Otel,Gündoğan,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,10,4.6,5.0,1.2649110640673518,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD102,Akyalı Butik Hotel,Güvercinlik,10,3.8,5.0,1.9321835661585918,2.0,5.0,0.3,0.0,0.7,LOW_SUPPORT
BOD104,Greenport Bodrum,Güvercinlik,27,2.037037037037037,1.0,1.6751918714785499,1.0,3.5,0.704,0.037,0.259,MODERATE
BOD105,İsolina Hotel,Güvercinlik,42,4.380952380952381,5.0,1.3243015821949127,5.0,5.0,0.143,0.024,0.833,MODERATE
BOD106,La Blanche Island Bodrum,Güvercinlik,11,3.727272727272727,4.0,1.009049958219026,3.0,4.5,0.091,0.364,0.545,LOW_SUPPORT
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,10,4.5,5.0,1.2692955176439846,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD108,Lujo Hotel Bodrum,Güvercinlik,10,3.6,4.5,1.6465452046971292,2.0,5.0,0.4,0.0,0.6,LOW_SUPPORT
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,43,4.116279069767442,5.0,1.4833890143468191,3.0,5.0,0.163,0.116,0.721,MODERATE
BOD111,Zena Hotel Bodrum,Güvercinlik,30,3.8333333333333335,5.0,1.6206285143761956,3.0,5.0,0.233,0.067,0.7,MODERATE
BOD113,Kadıkale Resort,Kadıkalesi,11,3.0,3.0,1.8439088914585775,1.0,5.0,0.455,0.091,0.455,LOW_SUPPORT
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,10,3.8,5.0,1.7511900715418263,2.5,5.0,0.3,0.0,0.7,LOW_SUPPORT
BOD122,Florida Otel,Ortakent-Yahşi,10,4.4,5.0,1.2649110640673518,4.25,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD123,Hotel Marma Beach,Ortakent-Yahşi,32,4.0,5.0,1.45912037134176,3.0,5.0,0.188,0.094,0.719,MODERATE
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,30,4.066666666666666,5.0,1.5742175578808129,3.25,5.0,0.2,0.067,0.733,MODERATE
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,10,4.6,5.0,1.2649110640673518,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD127,Kriss Hotel,Ortakent-Yahşi,29,4.068965517241379,5.0,1.4621665549733924,4.0,5.0,0.172,0.069,0.759,MODERATE
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,87,4.781609195402299,5.0,0.6892072857313387,5.0,5.0,0.023,0.046,0.931,STRONGER
BOD129,Meggs Bodrum,Ortakent-Yahşi,20,3.5,4.5,1.7917941611104422,1.0,5.0,0.3,0.1,0.6,MODERATE
BOD130,Petunya Beach Resort,Ortakent-Yahşi,10,3.3,4.0,1.8287822299126937,1.25,5.0,0.4,0.0,0.6,LOW_SUPPORT
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,20,4.6,5.0,0.9403246919632545,4.75,5.0,0.05,0.0,0.95,MODERATE
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,22,4.7727272727272725,5.0,0.528413454806725,5.0,5.0,0.0,0.045,0.955,MODERATE
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,10,4.0,5.0,1.4907119849998596,3.25,5.0,0.2,0.1,0.7,LOW_SUPPORT
BOD134,Yakamoz Otel,Ortakent-Yahşi,10,2.8,2.0,1.9321835661585918,1.0,5.0,0.6,0.0,0.4,LOW_SUPPORT
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,10,4.9,5.0,0.316227766016838,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,10,3.3,4.0,1.8287822299126937,1.25,5.0,0.4,0.0,0.6,LOW_SUPPORT
BOD143,Hotel Zeytinada,Torba,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD145,Moyo Luxury Hotel & Beach,Torba,29,3.8275862068965516,5.0,1.6272010481902741,3.0,5.0,0.241,0.034,0.724,MODERATE
BOD146,Olivia Hotel,Torba,44,4.5,5.0,1.0229915092057102,5.0,5.0,0.114,0.045,0.841,MODERATE
BOD147,Omar Hotel & Suites,Torba,10,4.5,5.0,1.2692955176439846,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD148,Rixos Premium Bodrum,Torba,20,4.55,5.0,0.887041208323017,4.75,5.0,0.05,0.1,0.85,MODERATE
BOD150,Samara Hotel,Torba,20,3.7,4.0,1.4179302929937965,3.0,5.0,0.2,0.1,0.7,MODERATE
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,20,4.6,5.0,1.2311740225021848,5.0,5.0,0.1,0.0,0.9,MODERATE
BOD153,The Oba Hotel,Torba,10,4.6,5.0,0.699205898780101,4.25,5.0,0.0,0.1,0.9,LOW_SUPPORT
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,10,4.1,5.0,1.4491376746189437,4.0,5.0,0.2,0.0,0.8,LOW_SUPPORT
BOD156,Voyage Torba,Torba,10,4.9,5.0,0.31622776601683794,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD161,MyElla Hotel Resort & Spa,Turgutreis,10,1.5,1.0,0.7071067811865476,1.0,2.0,0.9,0.1,0.0,LOW_SUPPORT
BOD162,Rammos Managed by Dedeman,Turgutreis,20,4.85,5.0,0.6708203932499369,5.0,5.0,0.05,0.0,0.95,MODERATE
BOD166,Divan Bodrum,Türkbükü,10,3.7,5.0,1.888562063228706,1.75,5.0,0.3,0.0,0.7,LOW_SUPPORT
BOD167,Elista Hotel & Spa,Türkbükü,11,3.909090909090909,5.0,1.8683974659876552,3.0,5.0,0.273,0.0,0.727,LOW_SUPPORT
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,20,4.1,5.0,1.5183093090324964,3.0,5.0,0.15,0.15,0.7,MODERATE
BOD169,MACAKIZI BODRUM,Türkbükü,10,3.5,5.0,1.9578900207451222,1.25,5.0,0.4,0.0,0.6,LOW_SUPPORT
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,33,4.9393939393939394,5.0,0.24230584229877994,5.0,5.0,0.0,0.0,1.0,MODERATE
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,10,4.95,5.0,0.15811388300841894,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD189,The Bodrum EDITION,Yalıkavak,33,3.8484848484848486,5.0,1.804875551825044,1.0,5.0,0.273,0.03,0.697,MODERATE
BOD190,The Sign Highlight Hotel,Yalıkavak,20,4.35,5.0,1.3484884325167863,5.0,5.0,0.2,0.0,0.8,MODERATE
