hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support
BOD045,Salmakis Resort & Spa,Bodrum Merkez,64,3.859375,4.5,0.219,0.719,48.0,48.4,93.8,STRONGER
BOD048,Babana Hotel,Göltürkbükü,10,5.0,5.0,0.0,1.0,58.0,80.0,90.0,LOW_SUPPORT
BOD049,Casa Del Mar Bodrum,Göltürkbükü,26,3.5,5.0,0.346,0.577,36.5,73.1,96.2,MODERATE
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,21,4.523809523809524,5.0,0.048,0.857,39.0,81.0,100.0,MODERATE
BOD052,Flamm Bodrum,Göltürkbükü,69,4.463768115942029,5.0,0.13,0.855,38.0,44.9,92.8,STRONGER
BOD054,Lavinya Maison,Göltürkbükü,10,4.6,5.0,0.1,0.9,53.5,20.0,50.0,LOW_SUPPORT
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,10,4.6,5.0,0.1,0.9,33.0,90.0,100.0,LOW_SUPPORT
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,40,4.6,5.0,0.075,0.875,24.0,77.5,87.5,MODERATE
BOD057,Selvi Bodrum,Göltürkbükü,79,3.5063291139240507,4.0,0.228,0.506,38.5,36.2,92.5,STRONGER
BOD058,Bodrum Beach Resort,Gümbet,10,4.4,5.0,0.1,0.8,64.5,50.0,70.0,LOW_SUPPORT
BOD060,Club Shark Hotel,Gümbet,78,4.3076923076923075,5.0,0.141,0.846,38.5,65.4,93.6,STRONGER
BOD061,Gümbet Anıl Beach,Gümbet,65,4.0,5.0,0.154,0.708,39.0,69.2,95.4,STRONGER
BOD063,Jasmin Beach Hotel,Gümbet,30,3.7666666666666666,5.0,0.267,0.633,86.0,83.3,86.7,MODERATE
BOD064,Jasmin Elite Residence & Spa,Gümbet,29,3.793103448275862,5.0,0.276,0.69,40.0,65.5,96.6,MODERATE
BOD065,Mirada Exclusive Bodrum,Gümbet,21,4.428571428571429,5.0,0.048,0.857,146.0,81.0,90.5,MODERATE
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,10,4.0200000000000005,4.6,0.1,0.7,147.0,70.0,80.0,LOW_SUPPORT
BOD067,Sami Beach Hotel,Gümbet,59,3.8135593220338984,5.0,0.254,0.695,42.0,55.9,93.2,STRONGER
BOD068,Selectum Colours Bodrum,Gümbet,10,3.9,4.5,0.2,0.7,210.0,90.0,90.0,LOW_SUPPORT
BOD070,The Luvi Hotel,Gümbet,30,3.7333333333333334,5.0,0.267,0.667,69.0,76.7,90.0,MODERATE
BOD071,Tropicana Beach Hotel,Gümbet,25,3.36,4.0,0.32,0.52,45.0,76.0,96.0,MODERATE
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,26,4.153846153846154,5.0,0.154,0.769,34.0,30.8,76.9,MODERATE
BOD074,Begonvil Gümüşlük,Gümüşlük,28,4.857142857142857,5.0,0.0,0.964,19.5,71.4,100.0,MODERATE
BOD077,Ladonia Hotels Zemda,Gümüşlük,20,2.05,1.0,0.75,0.25,58.5,65.0,85.0,MODERATE
BOD080,Myndos Oda & kahvalti,Gümüşlük,10,3.8,5.0,0.3,0.7,34.5,80.0,90.0,LOW_SUPPORT
BOD086,Vega Aparts,Gümüşlük,10,4.5,5.0,0.1,0.8,63.5,60.0,80.0,LOW_SUPPORT
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,10,3.2,4.0,0.4,0.5,95.5,60.0,90.0,LOW_SUPPORT
BOD088,Baia Bodrum Hotel,Gündoğan,20,3.7,4.0,0.25,0.65,38.0,45.0,75.0,MODERATE
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,20,4.6,5.0,0.1,0.9,66.5,60.0,80.0,MODERATE
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,10,4.2,5.0,0.2,0.8,80.5,90.0,90.0,LOW_SUPPORT
BOD095,Mivara Luxury Bodrum,Gündoğan,10,3.9,4.5,0.2,0.7,47.0,80.0,80.0,LOW_SUPPORT
BOD096,Olira Boutique Hotel&SPA,Gündoğan,10,5.0,5.0,0.0,1.0,26.5,40.0,40.0,LOW_SUPPORT
BOD098,Swissôtel Living Bodrum,Gündoğan,30,4.633333333333334,5.0,0.033,0.933,36.5,80.0,80.0,MODERATE
BOD099,Villa Oliva Butik Otel,Gündoğan,10,5.0,5.0,0.0,1.0,29.0,20.0,30.0,LOW_SUPPORT
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,10,4.6,5.0,0.1,0.9,29.0,60.0,80.0,LOW_SUPPORT
BOD102,Akyalı Butik Hotel,Güvercinlik,10,3.8,5.0,0.3,0.7,30.5,60.0,90.0,LOW_SUPPORT
BOD104,Greenport Bodrum,Güvercinlik,27,2.037037037037037,1.0,0.704,0.259,77.0,44.4,96.3,MODERATE
BOD105,İsolina Hotel,Güvercinlik,42,4.380952380952381,5.0,0.143,0.833,32.5,50.0,83.3,MODERATE
BOD106,La Blanche Island Bodrum,Güvercinlik,11,3.727272727272727,4.0,0.091,0.545,171.0,81.8,90.9,LOW_SUPPORT
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,10,4.5,5.0,0.1,0.9,46.5,70.0,70.0,LOW_SUPPORT
BOD108,Lujo Hotel Bodrum,Güvercinlik,10,3.6,4.5,0.4,0.6,99.5,70.0,70.0,LOW_SUPPORT
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,43,4.116279069767442,5.0,0.163,0.721,50.0,65.1,93.0,MODERATE
BOD111,Zena Hotel Bodrum,Güvercinlik,30,3.8333333333333335,5.0,0.233,0.7,40.0,83.3,100.0,MODERATE
BOD113,Kadıkale Resort,Kadıkalesi,11,3.0,3.0,0.455,0.455,52.0,33.3,75.0,LOW_SUPPORT
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,10,5.0,5.0,0.0,1.0,42.5,80.0,90.0,LOW_SUPPORT
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,10,3.8,5.0,0.3,0.7,64.5,70.0,80.0,LOW_SUPPORT
BOD122,Florida Otel,Ortakent-Yahşi,10,4.4,5.0,0.1,0.9,34.5,50.0,90.0,LOW_SUPPORT
BOD123,Hotel Marma Beach,Ortakent-Yahşi,32,4.0,5.0,0.188,0.719,34.0,31.2,81.2,MODERATE
BOD125,Kefi Beach Bodrum,Ortakent-Yahşi,30,4.066666666666666,5.0,0.2,0.733,53.0,56.7,96.7,MODERATE
BOD126,Khai Hotel Bodrum,Ortakent-Yahşi,10,4.6,5.0,0.1,0.9,63.5,80.0,80.0,LOW_SUPPORT
BOD127,Kriss Hotel,Ortakent-Yahşi,29,4.068965517241379,5.0,0.172,0.759,45.0,65.5,96.6,MODERATE
BOD128,Lugga Boutique Hotel & Beach,Ortakent-Yahşi,87,4.781609195402299,5.0,0.023,0.931,38.0,71.3,89.7,STRONGER
BOD129,Meggs Bodrum,Ortakent-Yahşi,20,3.5,4.5,0.3,0.6,29.0,55.0,90.0,MODERATE
BOD130,Petunya Beach Resort,Ortakent-Yahşi,10,3.3,4.0,0.4,0.6,159.5,90.0,90.0,LOW_SUPPORT
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,20,4.6,5.0,0.05,0.95,53.0,85.0,95.0,MODERATE
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,22,4.7727272727272725,5.0,0.0,0.955,35.0,72.7,95.5,MODERATE
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,10,4.0,5.0,0.2,0.7,44.0,60.0,90.0,LOW_SUPPORT
BOD134,Yakamoz Otel,Ortakent-Yahşi,10,2.8,2.0,0.6,0.4,44.0,70.0,90.0,LOW_SUPPORT
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,10,4.9,5.0,0.0,1.0,31.0,50.0,80.0,LOW_SUPPORT
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,10,3.3,4.0,0.4,0.6,288.0,90.0,90.0,LOW_SUPPORT
BOD143,Hotel Zeytinada,Torba,10,5.0,5.0,0.0,1.0,50.0,80.0,90.0,LOW_SUPPORT
BOD145,Moyo Luxury Hotel & Beach,Torba,29,3.8275862068965516,5.0,0.241,0.724,56.0,62.1,96.6,MODERATE
BOD146,Olivia Hotel,Torba,44,4.5,5.0,0.114,0.841,35.5,61.4,100.0,MODERATE
BOD147,Omar Hotel & Suites,Torba,10,4.5,5.0,0.1,0.9,33.0,80.0,90.0,LOW_SUPPORT
BOD148,Rixos Premium Bodrum,Torba,20,4.55,5.0,0.05,0.85,79.5,65.0,75.0,MODERATE
BOD150,Samara Hotel,Torba,20,3.7,4.0,0.2,0.7,102.5,70.0,85.0,MODERATE
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,20,4.6,5.0,0.1,0.9,63.5,75.0,75.0,MODERATE
BOD153,The Oba Hotel,Torba,10,4.6,5.0,0.0,0.9,127.0,80.0,80.0,LOW_SUPPORT
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,10,4.1,5.0,0.2,0.8,61.5,60.0,90.0,LOW_SUPPORT
BOD156,Voyage Torba,Torba,10,4.9,5.0,0.0,1.0,194.0,70.0,90.0,LOW_SUPPORT
BOD161,MyElla Hotel Resort & Spa,Turgutreis,10,1.5,1.0,0.9,0.0,232.5,100.0,100.0,LOW_SUPPORT
BOD162,Rammos Managed by Dedeman,Turgutreis,20,4.85,5.0,0.05,0.95,40.5,75.0,80.0,MODERATE
BOD166,Divan Bodrum,Türkbükü,10,3.7,5.0,0.3,0.7,97.5,90.0,90.0,LOW_SUPPORT
BOD167,Elista Hotel & Spa,Türkbükü,11,3.909090909090909,5.0,0.273,0.727,65.0,72.7,90.9,LOW_SUPPORT
BOD168,Kuum Hotel & SPA Bodrum,Türkbükü,20,4.1,5.0,0.15,0.7,32.5,55.0,80.0,MODERATE
BOD169,MACAKIZI BODRUM,Türkbükü,10,3.5,5.0,0.4,0.6,42.5,40.0,80.0,LOW_SUPPORT
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,33,4.9393939393939394,5.0,0.0,1.0,33.0,30.3,69.7,MODERATE
BOD180,MGallery The Bodrum Hotel Yalıkavak,Yalıkavak,10,4.95,5.0,0.0,1.0,33.0,50.0,80.0,LOW_SUPPORT
BOD189,The Bodrum EDITION,Yalıkavak,33,3.8484848484848486,5.0,0.273,0.697,36.0,42.4,69.7,MODERATE
BOD190,The Sign Highlight Hotel,Yalıkavak,20,4.35,5.0,0.2,0.8,36.0,100.0,100.0,MODERATE
